stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,47.32,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,47.2,0,0,0,18.88,3.15,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,24,0,2,0,0,1,0,8,4,5,10,0,0,0
 24-34,0,0,0,0.82,0,0,6.57,0,0.82,0,0.82,0,0,0,0,5.75,0,39.4,0,0,0.82,0,0.82,0,0,0,0,6.57,1.64,0,0
 36-46,0,0,0,0,0,0,4.03,0,1.61,0,0,0,0.81,0,0,4.83,0,32.23,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0.57,0,0,10.33,1.15,2.3,0,0,0,0,0,0,4.59,1.72,22.38,0,0.57,0.57,0,0,0,0,0,0,4.59,0,0,0
 60-70,0,0,0,0,0,0,15.7,0.98,0.98,0.98,0,0,0,0,0,3.93,0,27.48,0,1.96,0.98,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,1.96,0,11.78,0,4.91,0.98,0,0,0,0.98,0,6.87,0.98,53.01,0,0.98,1.96,0,0,0,0,0,0,2.94,0.98,0,0
 84-94,0,0,0,1.06,0,0,9.56,0,1.06,1.06,1.06,2.12,0,0,1.06,3.19,3.19,12.74,0,0,0,0,0,0,0,1.06,0,1.06,0,0,1.06
 96-106,0,0,0,0,1.09,0,6.56,0,2.19,1.09,0,0,0,0,0,6.56,0,20.76,0,3.28,2.19,0,2.19,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0.77,6.13,0,1.53,0,0,0.77,0,0,0,2.3,0,19.92,0,1.53,0.77,0,0,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,3.92,0,0,1.96,0,3.92,1.96,0,0,0,0,0,0,0,9.8,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0
