stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,171.63,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,7.89,0,0,0,0,0,0,49.95,2.63,0,18.4,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,25.18,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,2,1,0,0,1,0,1,20,0,0,0,0,2,0,1,7,1
 24-34,0,0,0,0.82,0,2.46,0,0,0,1.64,0,0,17.24,0,0,0,0.82,0,0,0,4.93,0
 36-46,0,0,0,0.81,0,1.61,0.81,0,0,1.61,0,0,12.09,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,5.16,0.57,0,0,1.72,0,0,5.16,0,0,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,0,0,2.94,2.94,0,0,1.96,0,0.98,6.87,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,2.12,1.06,1.06,0,0,0,0,2.12,0,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,0,1.09,3.28,0,0,2.19,1.09,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0.77,7.66,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0,5.88,0,0,0,0,0,0,0,0,1.96
