stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,7.89,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,9,3,1,0,0,0,0,0,8,0,81,372,1,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,8.21,0,11.49,13.13,0,0,0.82,0,0,0.82,0,0.82,14.78,128.05,6.57,0,1.64,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,0.81,0,0,8.86,0.81,5.64,13.7,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,0
 48-58,0,0,0,4.59,0,0.57,0,3.44,0,0,0,0,0,11.48,0,10.33,6.31,0,0,0,0,0,0,0,0,0.57,0,2.87,0,0,0
 60-70,0,0,0,3.93,1.96,0,0,0.98,0,0,0,0,0,8.83,0,4.91,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,8.83,0.98,0,0,0.98,0,0,0,0,0.98,5.89,0,4.91,2.94,0,0,0,0,0,0,0,0,1.96,0,0,0.98,1.96,0
 84-94,0,1.06,0,2.12,3.19,0,1.06,2.12,0,0,1.06,2.12,0,5.31,0,6.37,5.31,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0,3.28,0,3.28,1.09,0,0,0,0,1.09,0,0,0,1.09,0,0,0,3.28,0
108-118,0,0,0,1.53,1.53,0,0,0,0,0.77,0.77,0,0,0.77,0,6.13,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,1.96,0,1.96,0,0,0,0,0,1.96,1.96,0,0,3.92,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96
