stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,120,0,0,0,0,0,1,0,5,13,0,0,0,2,0,0,0,21,1,0,0,1,0,0,0,13,0,2,0
 24-34,0,0,0.82,1.64,336.55,0,1.64,0,0,0,0,0,5.75,5.75,0,0,0,2.46,0.82,0,0.82,67.31,0,0.82,0,0,0,0.82,0.82,14.78,0,4.1,0
 36-46,0,0,0,1.61,107.96,0,4.03,0,0,0,0.81,0,4.03,0,0,0,0,1.61,0,0,0,68.48,0,0.81,0,0,0,0.81,0,21.75,0,1.61,0
 48-58,0,0,0,2.3,171.57,0,5.16,0.57,0,0.57,2.3,0,1.72,0,0,0,0,8.03,0,0,0.57,43.61,0,0,0,0,0.57,0,0,16.07,0,0,0
 60-70,0,0,0,2.94,241.45,0,21.59,0,0,2.94,2.94,0,2.94,0.98,0.98,0,0.98,11.78,0,0,0.98,35.33,0.98,0,0,0,0,0,0,9.82,0,4.91,0
 72-82,0,0,0,0.98,217.93,0,9.82,0,0,1.96,6.87,0.98,5.89,1.96,0,0,0,11.78,0,0,0,27.49,0,0.98,0,0,0,0,0,5.89,0.98,3.93,0
 84-94,0,0,0,2.12,208.16,0,5.31,0,1.06,2.12,6.37,1.06,1.06,1.06,0,0,0,13.81,0,1.06,1.06,14.87,0,1.06,0,0,0,0,0,2.12,1.06,5.31,0
 96-106,0,0,0,4.37,216.38,1.09,6.56,0,1.09,0,4.37,0,5.46,2.19,0,0,0,17.49,0,1.09,1.09,14.21,0,0,0,0,0,1.09,0,2.19,0,2.19,0
108-118,0,0.77,0,2.3,127.15,0.77,2.3,0,0.77,0,1.53,1.53,1.53,0.77,0.77,0.77,0,5.36,0,0,0,13.02,0.77,0,0.77,0,0.77,0.77,0,0.77,0,2.3,0.77
120,0,0,0,3.92,209.7,0,1.96,0,0,0,3.92,0,1.96,0,0,0,0,3.92,0,1.96,1.96,25.48,0,0,0,0,0,1.96,0,1.96,0,3.92,0
