stage,endoderm,epidermis,erythrocytes,eye,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
 14-21,1,0,1,0,7,0,0,0,0,0,0,5,0,2,2,0,3,1,12,0,0
 24-34,0,0.82,0,0,3.28,0,0,0.82,0,0,0.82,3.28,1.64,0,0,0,2.46,0,13.13,0,0
 36-46,0,0,0,0,1.61,0,0,1.61,0,0,0,4.83,0.81,0,0,0,0.81,0,7.25,0,0
 48-58,0,0,0,0.57,8.61,0,0,0.57,0,0,0,5.74,0.57,0.57,0,0,1.15,0,7.46,0,0
 60-70,0,0,0,0,7.85,0,0,0,0,0,0,3.93,1.96,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,11.78,0.98,0,0,0,0.98,0,2.94,0.98,1.96,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,13.81,1.06,1.06,0,1.06,1.06,0,3.19,3.19,5.31,0,0,1.06,0,7.43,1.06,2.12
 96-106,0,0,0,3.28,6.56,0,2.19,0,1.09,0,0,1.09,4.37,6.56,0,0,0,0,2.19,0,0
108-118,0.77,0,0,0,3.06,0,1.53,0,1.53,0.77,0,5.36,1.53,5.36,0,0,1.53,0,3.06,0,0
120,0,0,0,0,7.84,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0
