stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0,5,0,2
 24-34,0,0.82,0,4.1,0.82,0,0.82,0,0,0,5.75,0,0,0,0.82,2.46,0,4.1,5.75,0,0,0,0,0,0,0,0,0,0,4.1,0,6.57
 36-46,0,0,0.81,0,0.81,1.61,0.81,0,0,0,4.03,0,0.81,0,1.61,4.83,0,4.03,3.22,0,2.42,0,0,0,0.81,0,0,0.81,0,1.61,0,18.53
 48-58,0,0,0,1.15,1.72,0,5.16,0,0,0.57,5.16,0,0,0,4.02,10.33,0,4.02,2.87,0,0.57,0,0,0,0,0.57,0,1.15,0,2.3,0,18.36
 60-70,0,0,0,0.98,2.94,0,2.94,1.96,0,0,2.94,0.98,0,0,1.96,29.45,0.98,1.96,6.87,0,1.96,0,0,0,0,0,0,0,0,3.93,0,19.63
 72-82,0,1.96,0,2.94,6.87,0,5.89,6.87,1.96,1.96,22.58,0,0.98,0,1.96,61.84,0,2.94,9.82,0.98,2.94,0.98,0,0.98,0,0,0,0.98,0,6.87,0,23.56
 84-94,0,2.12,0,4.25,2.12,0,1.06,4.25,1.06,1.06,28.68,0,0,1.06,7.43,49.92,0,2.12,7.43,0,1.06,0,0,0,0,0,0,1.06,0,6.37,2.12,27.61
 96-106,0,0,1.09,6.56,6.56,1.09,2.19,10.93,2.19,1.09,30.6,1.09,0,0,2.19,64.48,3.28,1.09,14.21,0,10.93,0,2.19,0,0,2.19,0,1.09,0,5.46,3.28,33.88
108-118,0,0.77,2.3,2.3,3.06,0.77,0.77,2.3,0,1.53,36,0,3.06,0,4.6,41.36,0.77,0.77,16.09,0,6.89,2.3,0,0,0.77,0,0.77,0.77,1.53,3.83,3.83,43.66
120,0,1.96,0,7.84,1.96,0,0,3.92,0,0,21.56,0,1.96,0,7.84,29.4,1.96,1.96,5.88,0,1.96,0,0,0,1.96,0,0,1.96,0,1.96,0,25.48
