stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,21.03,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,34.17,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,34.62,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,129.03,9.44,0,0,31.47,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,2,72,3,0,0,1,0,0,4,0,0,1,12,0,0,0
 24-34,0,0,0,0,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0.82,4.93,0,0,65.67,0.82,0,6.57,0,0,0.82,0,0,0.82,0,9.85,0,0,0
 36-46,0,0,0,0,0.81,0,0,33.03,0,0,2.42,0,0,0,0.81,0,0,11.28,0,0,125.68,0,0,4.83,0,0,0,0,0,0,0,27.39,0,0,0.81
 48-58,0,0,0,0,0,0,0,114.19,0,0,2.87,0,0,0,1.72,0,0,10.9,0,0,107.88,0,0,6.31,0,0.57,0,0,0,0,0,35,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,171.77,0,0,4.91,0.98,0,0,0,0,0,6.87,0,0,138.39,0,0.98,15.7,0,0,0.98,0,0,0,0,21.59,1.96,0,0
 72-82,0,0,0,0,0.98,0,0,232.65,0,1.96,11.78,0,0,0.98,0.98,0,0,11.78,0,0.98,173.75,0,0,42.21,0,0,0,0,0,0,0,15.71,0,0,0
 84-94,0,0,0,0,2.12,0,0,151.87,0,1.06,5.31,0,1.06,0,0,0,0,2.12,0,0,81.78,0,0,59.47,0,0,0,0,0,0,0,9.56,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,136.61,1.09,0,15.3,0,0,0,0,1.09,0,5.46,0,1.09,93.98,0,0,72.13,0,0,2.19,0,0,0,0,4.37,1.09,1.09,1.09
108-118,0,0,0,0,1.53,1.53,0.77,118.72,0.77,0,19.15,0,0,0.77,0,0.77,0,8.43,0.77,0.77,93.45,0,0,49.02,0,0,1.53,0,0.77,0,0,0.77,1.53,0.77,0
120,0,0,0,0,3.92,0,0,113.67,0,0,29.4,0,0,0,0,0,0,3.92,1.96,0,103.87,0,0,50.95,0,0,0,0,0,0,0,1.96,0,0,0
