stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,20,0,0,0,2,0,1,5,0,0,0,0
 24-34,0,0.82,0,8.21,0,1.64,0.82,0.82,0,0,0,0,1.64,0,0,1.64,23.8,0,0,2.46,0,0,0.82,7.39,0,0,1.64,0
 36-46,0,0,0,19.34,0,0.81,0,0,0,0,0,0.81,4.03,0,0,0,37.06,0,0,2.42,0,0,0,8.86,0,0,1.61,0
 48-58,0,1.15,0,44.18,0,5.16,0,0,0.57,0,0,0,2.87,0,0,0,40.17,0,0,1.72,0,0,0,4.59,0,0,1.72,0
 60-70,0,0.98,0,41.22,0,2.94,0,0,0,0,0,0,2.94,0,1.96,0,38.28,0,0,3.93,0,0,0,5.89,0,0,0,0
 72-82,0.98,0.98,0,72.64,0.98,6.87,0,0,0,0,0,0,3.93,0,0,0,41.23,1.96,0,0,0,0,0,0.98,0,0.98,0,0.98
 84-94,0,0,0,36.11,0,0,0,0,0,0,0,0,0,0,0,0,18.05,0,0,3.19,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,31.69,0,2.19,0,0,0,1.09,1.09,0,3.28,1.09,0,2.19,22.95,0,1.09,1.09,0,1.09,0,0,1.09,0,1.09,0
108-118,0,0.77,0,29.11,0,1.53,0,0,0,0,0,0,3.06,0,0,0,18.38,0,0.77,1.53,0,0,0,0.77,0,0,0,0.77
120,0,1.96,0,31.36,0,3.92,0,0,0,0,0,0,0,0,0,0,25.48,0,0,1.96,0,0,0,1.96,0,0,1.96,0
