stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,31.47,0,0,34.62,0,3.15,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,8,3,5,1,0,1,0,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,6,42,9,0,0,1,1,0,7,0,277,212,240,0,0,0,0
 24-34,0,0,7.39,0.82,0.82,0.82,0,9.85,24.63,0,0,82.09,0,0,0.82,0,0.82,0,0,0,0,6.57,0,0,13.13,76.34,0.82,2.46,0,0,0.82,0.82,0,0,114.92,112.46,333.27,0,0.82,0,0
 36-46,0,0,1.61,0,0,0,0,8.86,38.67,0,0,70.9,0,0,0,0,0,0,0,0,0.81,3.22,0,0,8.86,53.17,2.42,1.61,0,0,0,0,0,0,60.43,8.86,201.42,0,0,0,0
 48-58,0,0,0.57,0,3.44,0,0,17.21,30.99,0,0,94.1,0,0,1.72,0.57,0,0,0,0,1.72,5.16,0,0,9.75,49.35,0.57,0.57,0,0,1.72,0,0,0,54.51,0,237.56,0,1.15,0,0.57
 60-70,0,0,3.93,0,0.98,0,0,18.65,33.37,0,0,110.91,2.94,0,0.98,0,0,1.96,0,0,0,8.83,0,0.98,12.76,24.54,0,0,0,0,0.98,0,0,0,28.46,0,123.67,0,0,0,0
 72-82,0,0,15.71,0,0,0,0,22.58,36.32,0.98,0,207.13,5.89,0,0.98,0.98,0,1.96,0.98,0,0,5.89,0,0,11.78,30.43,0,0,0,0,0.98,0,0,0,21.6,0,53.99,0,0,1.96,0
 84-94,0,0,8.5,0,2.12,0,0,24.43,45.67,0,0,163.55,12.74,0,2.12,0,0,6.37,0,0,1.06,9.56,0,0,16.99,25.49,0,1.06,0,0,1.06,0,0,0,40.36,0,60.54,0,0,1.06,0
 96-106,0,0,15.3,0,1.09,2.19,0,17.49,54.64,1.09,1.09,124.58,8.74,0,0,2.19,0,3.28,0,1.09,1.09,9.84,0,0,12.02,27.32,0,3.28,2.19,0,2.19,0,0,0,45.9,0,46.99,1.09,1.09,0,0
108-118,0,0,6.89,0,1.53,0,0.77,6.13,40.6,0.77,0,103.41,7.66,0,2.3,1.53,0,9.19,0,0,0.77,6.13,0.77,0.77,17.62,11.49,0.77,0,0,0,0.77,0,0,1.53,25.28,0,23.74,0.77,0,0,0
120,0,0,5.88,0,0,0,1.96,1.96,35.28,0,0,60.75,7.84,0,3.92,1.96,0,0,0,0,1.96,0,0,0,11.76,7.84,1.96,0,0,0,0,0,1.96,0,11.76,0,31.36,0,0,1.96,0
