stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,487.58,9501.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8,0,0,0,0,0,0,0,0
  5-6,545.54,4695.3,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,98.07,12.26,0,0,30.65,0,36.78,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,10.51,0,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,286.53,5.26,0,0,110.41,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,6,1,0,0,1,0,0,0,0,0,1,15,0,0,1,17,0,0,1,0,0,2,0,1,1,10,0,0,0,4
 24-34,0,0,0.82,0,0,0,7.39,0,0.82,0,0,0,0,0,0.82,0.82,0,32.01,5.75,0,0.82,148.57,0,2.46,0,0,0,0.82,0,0,0,46.79,0,3.28,0,9.85
 36-46,0,0,0.81,0,0,0,12.09,0,0.81,0,0,0,0,1.61,0,0.81,0,24.98,0.81,0.81,0.81,291.65,0,4.83,0,0,0,1.61,0.81,0,0,78.96,0,8.06,0,0.81
 48-58,0,0,0.57,0,0,0,23.53,0,1.72,6.89,0,0,0.57,0,0,1.72,0,11.48,9.75,0,2.87,249.03,0.57,0,0.57,0,0,1.15,0,0,0,51.07,0,6.89,0,4.02
 60-70,0,0,0,0,1.96,0,48.09,0,0,15.7,0,0,0,6.87,0.98,5.89,0,4.91,12.76,0.98,0.98,355.31,0,2.94,0,0,0,1.96,0,0,0,28.46,0,3.93,0,1.96
 72-82,0,0,3.93,0,0.98,0,91.29,0,0,17.67,0.98,0,0,5.89,0,5.89,0,2.94,29.45,0.98,0.98,347.51,0,0,0.98,0,0,0,0,0,0,25.52,0,6.87,0,1.96
 84-94,0,0,3.19,0,2.12,0,55.23,0,0,16.99,1.06,0,0,8.5,0,13.81,0,14.87,13.81,2.12,2.12,152.93,0,0,0,0,2.12,2.12,0,0,0,11.68,0,9.56,1.06,0
 96-106,0,0,2.19,0,1.09,2.19,25.14,0,0,9.84,1.09,0,0,9.84,1.09,8.74,1.09,8.74,15.3,0,0,138.79,0,2.19,2.19,0,1.09,1.09,0,0,0,5.46,1.09,13.11,0,2.19
108-118,0,0,3.06,0.77,3.06,0.77,32.94,0.77,0,13.02,0.77,0,0,1.53,0,10.72,1.53,6.89,6.89,0,0,147.83,0,1.53,0.77,0,0,0.77,0,0,0,3.83,0,3.06,1.53,0.77
120,0,0,0,0,3.92,0,23.52,0,0,0,3.92,0,0,3.92,0,9.8,0,0,3.92,0,0,143.06,0,1.96,0,0,1.96,1.96,0,0,0,3.92,0,3.92,0,0
