stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,5,0,0,0,0,0,1,12,0,0,0,0,5,0,5,0,0,5,12,2,0,0,0,0,6,1,1,400,256,6,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,39.4,21.34,0,0,0,0,0,10.67,0,0,0,0,9.03,0.82,2.46,0,0,18.06,35.3,0.82,0,0.82,0,0,1.64,0,23.8,179.77,61.56,16.42,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,49.15,22.56,0,0,4.83,0,0,8.06,0,0,0,0,0,0,0.81,0,0,8.06,31.42,0,0,0.81,0,0,1.61,0,15.31,91.04,7.25,12.09,0,0,1.61,0,0
 48-58,0.57,0,0,1.72,0.57,0,43.61,18.36,0,0,9.75,0,0,4.02,0,0,0.57,0,0,0.57,2.87,0,0,20.08,18.36,0.57,0,0,0.57,0,0,0,10.33,51.64,0,4.02,0,0,1.15,0,0
 60-70,0,0,0,2.94,0.98,0,44.17,49.08,0,0,36.32,0.98,0,2.94,0,0,0,0,0.98,0.98,10.8,0,0,26.5,10.8,0,0,0.98,0.98,0,1.96,0,16.69,46.13,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,2.94,0,51.05,49.08,0,0,48.1,12.76,0,1.96,0.98,0,0,0,0,0,19.63,0,1.96,16.69,14.72,0.98,0,0,0.98,0,1.96,0,43.19,25.52,0,2.94,0.98,0.98,2.94,0,0.98
 84-94,0,0,0,0,1.06,0,62.66,62.66,3.19,0,39.3,28.68,0,3.19,0,0,1.06,0,0,1.06,8.5,1.06,0,16.99,21.24,0,0,2.12,0,1.06,5.31,0,106.2,42.48,0,2.12,0,0,5.31,0,0
 96-106,0,0,0,3.28,2.19,1.09,66.66,69.94,3.28,2.19,54.64,39.34,0,7.65,1.09,0,1.09,0,1.09,0,12.02,0,0,14.21,18.58,0,1.09,1.09,1.09,0,3.28,0,100.54,49.18,0,0,2.19,0,1.09,3.28,0
108-118,0,0,0,3.83,3.06,0,58.21,57.45,1.53,0.77,36,43.66,0,3.83,0.77,0.77,1.53,1.53,2.3,0,13.02,0,1.53,10.72,14.55,0,0,1.53,0,0.77,2.3,0,88.09,36,0,0.77,0.77,0.77,0,1.53,0
120,0,0,0,5.88,0,0,45.08,41.16,0,0,31.36,52.91,0,3.92,0,0,0,0,0,0,9.8,0,1.96,13.72,7.84,0,0,0,0,0,0,1.96,58.79,21.56,0,1.96,0,0,0,1.96,0
