stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,30,1,0,0,0,0,0,0
 24-34,1.64,0,1.64,4.1,0.82,0,0,0,1.64,0,0,0,0,0,0.82,2.46,0,9.85,46.79,0,0.82,0,0,0,1.64,0.82,0,68.95,7.39,17.24,0,0,0.82,0,0
 36-46,0,0,10.47,23.36,0,0,2.42,0,1.61,0,0,0,0,0,0,2.42,0,9.67,120.85,0,0.81,0.81,0,0,2.42,0,0.81,56.4,1.61,39.48,0,0,0,0,0.81
 48-58,0.57,0,16.64,25.82,0,0,2.87,0,2.3,0,0,0,0,0,0,6.31,1.15,6.89,183.62,0,0,0,0.57,0,1.15,0,0,56.23,0,34.43,0,0,1.15,0,0
 60-70,0.98,0.98,69.69,24.54,0,0,11.78,0,3.93,0,0,0.98,0,0,0.98,6.87,0,8.83,316.05,0,0,0,0,0,1.96,0,0.98,47.11,0,54.97,0.98,0,0.98,0,1.96
 72-82,3.93,0,119.76,19.63,0,0.98,42.21,0,0.98,0.98,0,0,0,0,0,3.93,0.98,9.82,345.54,0,1.96,0,0,0,0,0,0,23.56,0,36.32,0,0,0.98,0.98,0
 84-94,4.25,2.12,78.59,26.55,1.06,0,20.18,0,2.12,0,1.06,2.12,0,1.06,0,13.81,0,8.5,184.79,0,0,0,0,0,2.12,0,0,33.99,0,16.99,0,1.06,1.06,1.06,0
 96-106,3.28,6.56,75.41,32.79,0,2.19,45.9,1.09,2.19,1.09,0,0,3.28,0,2.19,12.02,0,10.93,191.25,0,1.09,1.09,0,0,5.46,0,0,32.79,0,4.37,0,0,0,1.09,0
108-118,2.3,1.53,58.98,39.06,0,0.77,33.7,1.53,4.6,0.77,0,1.53,0,1.53,0,4.6,0,13.79,191.49,1.53,0.77,0,0,0,0.77,0,0.77,42.89,0,9.19,0,0,0.77,0,0.77
120,5.88,1.96,78.39,39.2,0,1.96,37.24,0,0,0,0,3.92,0,0,0,7.84,0,17.64,246.93,3.92,0,1.96,0,1.96,1.96,0,0,17.64,0,9.8,0,0,0,0,0
