stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,2,32,0,0,0,0,0,1,1,2,0,2,2,13,0,0,0,0
 24-34,0,0,0.82,4.93,0.82,0,5.75,0,0,0,0.82,0,0,0,0,0,0,0,0.82,11.49,0,4.1,51.71,1.64,0,0,0,0,0.82,0,0,0.82,0,0,9.03,0,0.82,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,0,2.42,0,0,0,0,0,0,0,0,7.25,0,0.81,19.34,0,0.81,0.81,0,0,0,0,0,0,0,0,8.06,0,0.81,0,0
 48-58,0,0,0,0,0,0,5.74,0,0,0,2.3,0,0.57,0,0,0,0,0,0,9.18,0,0.57,12.62,0.57,0,0,0,0,0.57,0,0,0,0,0,5.74,0,1.15,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0,10.8,0,1.96,0,0,0,0,0,0,5.89,0,0,17.67,0,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,0,6.87,0,0.98,0,18.65,0,0,0,0,0,0,0.98,0,17.67,0.98,1.96,21.6,0,0.98,1.96,0,0,0.98,0,0,0,0,0,1.96,0.98,0.98,1.96,0
 84-94,0,0,0,2.12,0,0,7.43,0,0,1.06,10.62,1.06,1.06,0,0,0,0,0,0,7.43,1.06,1.06,10.62,0,1.06,1.06,0,0,0,0,0,0,0,0,1.06,1.06,0,0,1.06
 96-106,0,0,0,2.19,1.09,0,3.28,1.09,1.09,0,15.3,0,0,1.09,1.09,0,2.19,0,0,20.76,0,2.19,15.3,1.09,1.09,1.09,0,1.09,1.09,0,0,0,0,0,1.09,0,2.19,1.09,0
108-118,0,0,0,9.19,0,0,6.89,0.77,0.77,0.77,9.96,0,1.53,0.77,0,3.83,0.77,0.77,0.77,10.72,0.77,2.3,18.38,0,1.53,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,2.3,0,0.77
120,0,0,0,11.76,0,1.96,9.8,0,1.96,0,3.92,0,0,1.96,0,0,1.96,0,1.96,9.8,0,1.96,19.6,1.96,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0
