stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,34,0,0,1,0,0,0,0,35,1,0,0,7,0,0,0,0,1,1,0,0,0,1,0,35
 24-34,0,0,0,2.46,0,0,150.22,0,0,0,0,4.1,0,0,133.8,2.46,0,1.64,30.37,1.64,0,0,0.82,0,0,0,0,3.28,5.75,0.82,109.17
 36-46,0,0,0,1.61,0,0,98.29,0.81,1.61,2.42,0,1.61,0,0,143.41,5.64,0,0.81,24.98,0.81,0,0,1.61,0,0,0,0,0,4.83,0,42.7
 48-58,0,0,0,0,0,0,106.73,0,0,1.15,0,1.72,0.57,0,105.01,4.02,0.57,0,17.21,0,0,0,0.57,0,0,0,0.57,0,2.3,0,52.22
 60-70,0,0,0,0.98,0,0,105.02,0,0,1.96,0,0.98,0,0,68.71,3.93,0,0.98,12.76,0,0,0,0.98,0,0,0,0,0,2.94,0,34.35
 72-82,0,0,0,0.98,1.96,0,101.11,0,0,0,0,0.98,0,0.98,62.83,6.87,0,0,9.82,0,0.98,0,1.96,0,0,0.98,0,0,0,0,22.58
 84-94,0,0,0,1.06,1.06,0,177.36,0,0,0,1.06,2.12,0,0,107.27,6.37,0,1.06,6.37,0,0,0,1.06,0,0,0,0,0,1.06,0,13.81
 96-106,0,0,0,2.19,1.09,1.09,128.96,0,0,0,1.09,3.28,0,0,75.41,8.74,1.09,1.09,10.93,0,0,0,1.09,0,0,0,0,0,0,0,15.3
108-118,0,0,0,3.06,0.77,0,116.43,0,0,3.06,0,2.3,0.77,0.77,98.04,2.3,0,0.77,6.13,0,0.77,0,3.06,0,0,0,0,0,0,0.77,13.02
120,0,0,0,0,0,0,39.2,0,0,1.96,0,0,0,0,37.24,1.96,0,0,5.88,0,0,0,1.96,0,0,0,0,0,0,0,9.8
