stage,epidermis,eye,fin_epithelia,glial,gut,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0.82,1.64,13.13,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,8.06,0,0,0,0
 48-58,0.57,2.3,0,0.57,0,0,0,0,0,0,0,2.3,4.02,0,0,0,0
 60-70,0.98,0,0,0.98,0,0,0,0,0,0,0,0.98,2.94,0.98,0,0,0
 72-82,1.96,0,0,0.98,0,0,0,0.98,0,0,0,1.96,8.83,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,1.06,0,0,0,0,1.06,18.05,0,0,0,0
 96-106,2.19,1.09,1.09,0,1.09,0,1.09,1.09,1.09,0,1.09,3.28,16.39,0,0,0,1.09
108-118,1.53,0,0,0,0.77,0,0,0,0,0,0,0,11.49,0,0.77,1.53,0
120,0,0,1.96,3.92,0,0,0,0,3.92,0,0,5.88,29.4,0,0,0,0
