stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,3.15,0,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,6,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,5.75,1.64,0.82,0,0.82,0,0.82,0,0,0,0,0,0,2.46,0,0,2.46,52.53,0,0.82,0,0,0,0,0,0,0,0.82,28.73,0,0,3.28,0,0
 36-46,0,0,0,0.81,0,0,8.86,0,0.81,3.22,0,0.81,1.61,0.81,0,0,0,0,0,4.83,1.61,0,1.61,80.57,1.61,5.64,0.81,0,0,0,0,0,0,0,42.7,0,0,1.61,0,0.81
 48-58,0,0,0,0,0,0,14.35,0,1.72,2.87,0,0.57,0,0,1.15,0,0,0,1.72,8.61,2.3,0.57,2.87,60.25,1.15,2.3,1.15,0,0,0.57,0,0,0,0,29.26,0,0,1.15,0,1.15
 60-70,0,0,0,3.93,0.98,0,54.97,0.98,7.85,24.54,0.98,0,5.89,2.94,0,0,2.94,0,0,33.37,2.94,0.98,0.98,154.1,2.94,3.93,1.96,0,0.98,1.96,0,0.98,0,0,42.21,0,0,2.94,0,2.94
 72-82,0,0,0,3.93,0.98,0,57.92,0.98,5.89,37.3,0,0,1.96,1.96,0,0,0.98,0,0,56.94,8.83,0.98,4.91,141.36,0.98,5.89,4.91,0,0,0,0,0,0,0,34.36,0,0.98,3.93,0,2.94
 84-94,0,0,0,9.56,3.19,0,30.8,0,4.25,15.93,2.12,0,0,5.31,1.06,1.06,2.12,0,0,41.42,3.19,1.06,1.06,95.58,1.06,4.25,0,0,0,5.31,0,1.06,0,0,16.99,0,0,3.19,0,5.31
 96-106,0,0,3.28,14.21,3.28,0,38.25,3.28,6.56,32.79,5.46,0,3.28,2.19,0,0,3.28,1.09,0,52.46,3.28,0,2.19,89.61,1.09,2.19,5.46,0,1.09,3.28,0,1.09,0,0,10.93,0,1.09,14.21,2.19,7.65
108-118,0,0,0,11.49,5.36,0,34.47,3.06,6.13,40.6,3.83,0,0,2.3,2.3,3.06,2.3,3.83,3.06,45.96,4.6,1.53,3.06,110.3,6.13,3.83,4.6,0,0,2.3,0,0.77,0.77,0,9.19,1.53,0.77,9.96,1.53,8.43
120,0,0,1.96,19.6,3.92,1.96,33.32,0,5.88,41.16,11.76,0,0,3.92,3.92,0,5.88,9.8,0,50.95,3.92,3.92,1.96,127.39,5.88,3.92,0,0,1.96,7.84,1.96,0,0,0,7.84,1.96,0,1.96,0,0
