stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,39.53,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,22.03,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,1,0,0,0,0,0,0,3,0,0,2,6,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,3.28,0,0,0,0,0,0,0,0,0,2.46,0,0,2.46,27.09,2.46,0,0,0,0,0.82,0,0,0,0,0.82,7.39,0,1.64
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,16.92,0,0.81,0,0,0,4.03,0,0,0,0,0,7.25,0,0.81
 48-58,0,0,0.57,0,0.57,0,4.59,0,0,0.57,0.57,0,0,0,0,0,0,0,0,4.02,0,0,1.15,10.9,0.57,0,0.57,0,0,1.72,0,0,1.15,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,11.78,0,0,0,0,0.98,0.98,0,0,0,0.98,0,2.94,0,0
 72-82,0,0,0,0,0,0,7.85,0,0,4.91,0,0.98,0,0,0,0,0.98,0,0,1.96,0,0.98,0,6.87,0.98,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,1.06,2.12,0,0,0,6.37,0,0,1.06,0,0,2.12,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,0,1.09,4.37,0,0,1.09,1.09,0,0,1.09,0,1.09,1.09,0,0,8.74,1.09,0,0,3.28,0,1.09,2.19,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,3.06,0.77,0.77,3.06,0,0,0.77,0,0.77,0,0,1.53,0,2.3,0.77,0.77,0.77,5.36,0,0,1.53,0,0,0.77,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
