stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,5,3,0,0,1,0,0,0,3,0,2,20,0,0,0,2,1,0,5,5,0
 24-34,0,0,3.28,0,0.82,0,0,0,0,1.64,0.82,0.82,19.7,0,0,0.82,0,0,0,0.82,5.75,0.82
 36-46,0,0,2.42,0,0,0,0,0,0.81,4.03,0.81,0,16.92,0,0,0,0,0,0,0,4.03,0.81
 48-58,0,0.57,7.46,0,0.57,0,0.57,0,0,4.02,0,0.57,5.16,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,4.91,0,1.96,0,0,0,0,3.93,0,0,6.87,0,0,0.98,0,0,0.98,0,1.96,0
 72-82,0,0.98,1.96,0.98,0.98,0,0,0,0.98,3.93,0,0,3.93,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,0,0,0,0,0,1.06,0,1.06,2.12,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,1.09,3.28,0,1.09,0,0,0,0,2.19,0,1.09,2.19,0,0,2.19,0,0,0,0,0,0
108-118,0,1.53,1.53,0,1.53,0.77,0.77,0.77,0,0,0,0.77,1.53,0.77,0,3.06,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0
