stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,81.82,0,9.44,3.15,0,0,0,0,0,0,0,0,103.85,0,0,3.15,0,0
 14-21,0,0,9,6,0,0,0,0,1,0,0,6,0,5,1,0,0,1,1
 24-34,0,0,0,0,0,0,0.82,0,0,1.64,0.82,0.82,1.64,0,0.82,0,0,0.82,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,1.61,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,1.72,0.57,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,13.74,0.98,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,2.94,0,0,0.98,0,25.52,0,0.98,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,0,0,3.19,0,3.19,0,26.55,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,2.19,1.09,0,1.09,0,14.21,0,1.09,0,1.09,0,0,1.09
108-118,0,0,1.53,0,0,0.77,1.53,2.3,0,0,0,9.96,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,0,0,0,9.8,0,0,1.96,0,0,0,0
