stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,17.24,0.82,0,15.6,0,0,0.82,0,0,0,0,0,0,0,0.82,504.01,0,0,0.82,0,1.64,0.82,32.83,0,0,0,0,0
 36-46,0.81,0.81,138.58,0,0,156.3,0,0.81,0,0,0.81,0,0,0.81,4.03,0,1.61,1630.67,0.81,0,0,0,3.22,0,256.2,0,0,0,0,0
 48-58,5.16,0.57,285.18,1.15,0.57,453.88,0,0.57,0.57,0.57,0,0.57,0,0,9.75,0,1.15,1479.84,0.57,0,0.57,0,1.72,0,538.8,0,0,2.3,0,1.72
 60-70,2.94,0,198.27,0,0,195.32,0,0,0,0,0,0,0.98,0,10.8,0,0,812.7,0,0,0,0.98,1.96,0,140.36,0,0.98,0,0,0.98
 72-82,3.93,0.98,156.08,0,1.96,230.69,0,0,0,0,0,0,0,0,8.83,0,0.98,482,0,0,0.98,0,0.98,0,55.95,0,0,0.98,0,0
 84-94,3.19,0,75.4,0,0,116.82,0,0,0,0,1.06,0,0,0,4.25,0,0,203.91,0,0,0,0,1.06,0,27.61,0,0,1.06,1.06,0
 96-106,1.09,1.09,73.22,1.09,1.09,121.31,0,0,0,0,0,0,1.09,0,8.74,0,1.09,236.05,0,0,0,0,2.19,0,8.74,0,1.09,0,0,0
108-118,2.3,0,52.85,0,0,96.51,0.77,0,0,0,0,0,0,0,3.83,0.77,0,307.92,0,0.77,0,0,0.77,0,3.83,0.77,0,0.77,0,0
120,7.84,0,54.87,0,0,86.23,0,0,0,1.96,0,0,0,0,1.96,0,0,241.05,0,0,0,0,1.96,0,1.96,0,0,0,0,0
