stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,26.29,42.06,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,56.65,40.91,0,0,31.47,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,122,7,0,3,0,22,0,0,0,0,1,0,0,0,23,0,0,18,13,47,0,0,1,0,8,0,42,106,30,0,1,0,0
 24-34,0,0,0,0,37.76,0,0,1.64,0,61.56,3.28,0.82,0,0,3.28,0,0,0,78.8,0,0,67.31,21.34,5.75,0,0,0,0,4.93,0,3.28,22.98,8.21,0,18.88,0,0.82
 36-46,0,0,0,0,12.89,0,0,4.83,0,31.42,10.47,1.61,0,0,1.61,0,0,0.81,111.99,0.81,0,79.76,13.7,0.81,0,0,0,0.81,3.22,0.81,0,0,2.42,0,12.09,0,3.22
 48-58,0,0,0,0,12.05,0,0,15.49,0,28.12,8.61,1.15,0.57,0,2.87,0,0.57,0,171.57,0,0,53.94,18.94,0,0,1.15,0,0,1.15,0,0,0,3.44,0,6.89,0.57,7.46
 60-70,0,0,0,0,9.82,0,0,38.28,0,27.48,14.72,0,0,0,0.98,0,0,0,187.47,0,0,29.45,12.76,0.98,0,2.94,0,2.94,0.98,0,0.98,0,4.91,2.94,3.93,0.98,6.87
 72-82,0,0,0,0,6.87,0,0,24.54,0.98,10.8,17.67,2.94,0,0,0.98,0.98,0,0.98,312.17,0,0.98,38.28,21.6,0,0.98,1.96,0,1.96,0,0,0,0,0.98,5.89,6.87,0.98,6.87
 84-94,0,0,1.06,0,8.5,0,0,27.61,1.06,28.68,12.74,1.06,1.06,0,2.12,0,0,0,197.54,0,3.19,30.8,5.31,1.06,0,1.06,0,1.06,1.06,0,1.06,0,2.12,4.25,3.19,7.43,8.5
 96-106,0,0,1.09,0,13.11,0,0,9.84,0,15.3,7.65,0,0,0,3.28,0,0,0,174.86,0,2.19,24.04,18.58,0,0,5.46,0,5.46,1.09,0,0,0,0,6.56,3.28,0,10.93
108-118,0,0,0.77,0,5.36,0,0,9.19,0,29.11,9.19,1.53,1.53,0,3.06,0,0,0,165.45,0.77,0.77,19.15,9.19,0,0,4.6,0,3.06,2.3,1.53,0,0,0.77,4.6,1.53,0.77,12.26
120,0,0,0,0,7.84,1.96,1.96,9.8,1.96,9.8,1.96,1.96,0,0,0,0,0,0,97.99,0,3.92,17.64,19.6,0,0,7.84,1.96,0,0,0,0,0,0,3.92,1.96,3.92,7.84
