stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,18.88,0,0,0,0,0,0,3.15,0,0,0,0,0,0,185.67,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,20,1,0,0,11,0,0,0,3,4,0,2,506,0,0,0,0,0,2,1,1,54,0,0,0,0,0
 24-34,0,0,18.88,0.82,4.1,0,60.74,0,0,0.82,2.46,5.75,0,1.64,648.48,1.64,1.64,0,0,0,0,0.82,0,67.31,0,0,0,0,0
 36-46,0,0,16.11,0,5.64,0,45.12,0,0.81,0,0,8.06,0,2.42,341.6,0,0,0,0,0,0,0,0,43.51,0,0,0,0,0
 48-58,0,0,7.46,0,5.16,0.57,31.56,0,0.57,0,0,16.07,0,2.3,180.75,0,0,0,0,0,0,0,0,18.94,0,0,0.57,0,0
 60-70,0,0,2.94,0,0.98,0,25.52,0,0,0,0,18.65,0.98,4.91,94.23,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,2.94,1.96,6.87,0,60.86,0,0,0,0,36.32,0.98,1.96,79.51,0,0,0,0,0,0,0,0,7.85,0,0.98,0,0,0.98
 84-94,0,0,6.37,0,11.68,0,38.23,0,0,0,0,29.74,0,0,59.47,0,0,0,0,0,0,0,0,6.37,1.06,0,0,0,0
 96-106,0,0,1.09,0,6.56,0,40.44,0,0,0,0,31.69,0,2.19,38.25,0,0,1.09,0,0,0,0,0,12.02,0,0,0,1.09,0
108-118,0,0,5.36,0,3.83,0,36,0,0,0,0,29.87,0,0,30.64,0,0,0,0,0.77,0,0,0,3.06,0,0,0,0,0
120,0,0,3.92,0,0,0,13.72,0,0,0,0,15.68,0,1.96,21.56,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
