stage,axial,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,6,0,1,0,0
 24-34,0,0.82,0,0.82,3.28,0,0,0,0,0,0,0,0,4.93,0,0,1.64,27.91,0,0.82,0.82,0,0,0.82,0,0,0,0,12.31,0,4.1,0,0
 36-46,0,0,0,0,0.81,0.81,0,2.42,0.81,0,0,0,0,3.22,0,1.61,0,16.11,0,0,0,0,0,1.61,0,0,0,0,7.25,0,2.42,0,0
 48-58,0,0,0,0,4.02,0,0,6.89,0,0.57,0,0,0.57,5.74,0.57,0,0,14.92,0,0,0.57,0,0,0.57,0,0,0,0,6.31,0,1.15,0,0
 60-70,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,2.94,0,0.98,0,16.69,0,0,0.98,0,0,0,0,0,0.98,0,0,0,3.93,0,0
 72-82,0,0,0,0,6.87,0,0,5.89,0,1.96,0,0,0,6.87,0,0,0,9.82,0,1.96,0.98,0,0,2.94,0,0,0,0,0.98,0.98,8.83,0,0
 84-94,0,0,0,0,1.06,0,1.06,4.25,1.06,0,1.06,0,0,8.5,0,1.06,0,3.19,0,0,1.06,0,0,4.25,0,0,0,0,3.19,0,4.25,0,1.06
 96-106,0,0,1.09,0,5.46,0,0,5.46,1.09,0,1.09,0,0,2.19,0,0,1.09,9.84,0,2.19,0,0,1.09,3.28,1.09,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,1.53,0,3.06,0.77,0,3.06,1.53,0,0,0.77,0,4.6,0,0,0,10.72,0,0,0.77,0,0,6.13,0,0,0,0,0.77,0,2.3,0,0
120,0,0,0,0,3.92,0,0,9.8,1.96,0,5.88,0,1.96,7.84,0,0,3.92,5.88,0,0,0,0,0,9.8,0,0,0,0,1.96,0,1.96,0,0
