stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1278.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,306.48,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,16,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,8.21,3.28,0,0,4.1,0,0,1.64,0,0,1.64,0,0.82,20.52,0,0,20.52,63.21,0,0.82,2.46,0,0,0,0,0,0,0,2.46,14.78,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,6.45,4.83,0,0,9.67,0,0,0.81,0,0,0,0,0,43.51,2.42,0,31.42,118.43,0.81,2.42,3.22,0,0,1.61,0,0,0.81,0,0,29,0,0,0,1.61
 48-58,0,0,0,0.57,4.02,0,21.8,3.44,0,1.72,12.62,0,0,1.15,0,0,0,0,0.57,59.1,0.57,0,19.51,155.5,0,0.57,2.87,0,0,1.15,0,0,0,0,0,19.51,0,0,0,1.15
 60-70,0,0,0,0,2.94,0,30.43,1.96,0,0.98,6.87,0.98,0,0.98,0.98,0,0,0,0,62.82,0,0.98,21.59,168.82,0,0,0,0,0.98,2.94,0,0,0,0,0,22.58,0.98,1.96,0,1.96
 72-82,0,0,0.98,0,1.96,0.98,50.06,4.91,0,4.91,11.78,1.96,0,0,1.96,0,0,0.98,0,74.61,0.98,0.98,20.61,144.3,0,1.96,0.98,0,1.96,0.98,0,0,0,0.98,0,8.83,1.96,2.94,1.96,0
 84-94,0,0,1.06,0,5.31,0,30.8,6.37,0,3.19,6.37,1.06,0,1.06,0,2.12,1.06,0,0,48.85,0,2.12,16.99,63.72,0,1.06,8.5,0,0,2.12,0,0,0,0,0,9.56,2.12,1.06,1.06,1.06
 96-106,0,0,0,0,3.28,1.09,26.23,10.93,1.09,2.19,4.37,4.37,0,4.37,0,0,3.28,1.09,0,44.81,0,2.19,14.21,33.88,0,1.09,8.74,0,0,3.28,0,0,0,0,0,1.09,3.28,0,1.09,0
108-118,0,0,1.53,0.77,1.53,0.77,22.98,9.19,0,0.77,9.19,4.6,0,2.3,0,2.3,1.53,0.77,0,22.21,0.77,0.77,10.72,55.15,0,0.77,4.6,0,0.77,1.53,0,0,0,0,0,0.77,0,1.53,2.3,0.77
120,0,0,0,0,5.88,3.92,15.68,3.92,0,0,15.68,1.96,0,0,1.96,1.96,0,0,0,23.52,0,0,1.96,52.91,3.92,0,3.92,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0
