stage,axial,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,28.92,0,0,5.26,0,2.63,0,0
 10-12,0,3.15,0,9.44,0,0,6.29,0,0,0,0,72.38,0,0,12.59,3.15,0,0,0
 14-21,0,0,4,1,1,0,0,0,0,0,1,8,0,0,0,2,0,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,5.75,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,4.83,0,0,0
 48-58,0,0,0,1.72,1.15,0,0,0,0,0,0,1.15,0,0,0,2.87,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,5.89,0.98,0,0,0,0.98,0,0.98,1.96,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,7.43,2.12,0,0,1.06,0,0,0,1.06,0,0,0,2.12,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,1.09,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
