stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,11,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,2,20,2,0,2,0,4,3,1,5,9,0,0,0,0,0
 24-34,0.82,0,0.82,10.67,0.82,0,0.82,1.64,0,0.82,0,0,0.82,0,0,0.82,0,4.1,0,0,2.46,13.13,0,0,0,0,2.46,0.82,0,0,10.67,0,0,4.1,0,0
 36-46,0,0,0,8.06,0,0,0,1.61,0.81,4.03,0,0,0.81,0,0,0,0,27.39,0,2.42,3.22,15.31,0,0,0,0.81,0,0,0,0,2.42,0,0.81,2.42,0,0
 48-58,0,0,0.57,1.15,0.57,0,1.72,0,0,0,0,0.57,0,0.57,0,0.57,0,18.94,0,1.15,1.15,2.3,0,0,0,0,0.57,0,0,0,2.3,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,2.94,0.98,8.83,1.96,0,1.96,0,0.98,0,0,46.13,0,3.93,4.91,4.91,0,0,0.98,0,0,0,0.98,0,1.96,0,0.98,0.98,0.98,0
 72-82,0,0,0,2.94,0,0,2.94,0,0.98,2.94,0.98,0,0,0,0,0.98,0,29.45,0,0.98,1.96,3.93,0,0.98,0.98,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,5.31,0,0,0,1.06,1.06,3.19,0,1.06,0,1.06,0,1.06,0,30.8,2.12,0,2.12,0,0,0,0,0,1.06,0,0,0,1.06,0,0,2.12,0,0
 96-106,0,0,0,6.56,0,0,4.37,0,0,4.37,4.37,0,3.28,1.09,0,1.09,0,15.3,0,0,2.19,6.56,0,1.09,0,0,1.09,0,0,0,0,0,3.28,0,1.09,2.19
108-118,0,0,0,5.36,0,0,2.3,2.3,0,3.83,4.6,0,0,2.3,0,0.77,1.53,22.98,0.77,2.3,1.53,3.06,0,2.3,0,1.53,3.06,1.53,0,0,0,0.77,0.77,1.53,1.53,0.77
120,0,0,0,5.88,0,1.96,0,0,1.96,3.92,3.92,0,0,5.88,0,0,0,19.6,0,0,0,13.72,0,0,1.96,1.96,0,3.92,0,0,0,1.96,1.96,0,1.96,0
