stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,0,12.59,0,0,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,9,14,0,0,0,0,0,2,0,2,0,0,0,0,0,0,11,0,0,22,17,12,0,0,2,0,1,0,22,9,295,274,10,0,9,0,0
 24-34,0,7.39,3.28,0,9.03,150.22,0.82,2.46,0.82,0.82,4.1,2.46,0.82,0,0,0.82,0,32.01,0,0,73.88,64.03,4.1,0,0,0,0,3.28,0,0,6.57,151.04,160.89,12.31,0,26.27,0,0.82
 36-46,0,2.42,0.81,0,4.83,146.63,0,7.25,2.42,0,1.61,4.83,0,0,0,0,0.81,37.06,0,0,37.06,41.09,4.83,0.81,0.81,0.81,0,0.81,0.81,0,1.61,56.4,10.47,6.45,0,10.47,0,0
 48-58,0,1.15,0,0,21.23,54.51,0.57,8.61,4.02,0,0,3.44,0,0,0.57,0,0,41.31,0,1.15,32.13,28.69,0,1.15,0.57,0,0,0,0,0,0,28.12,0,9.18,0,13.2,0,0.57
 60-70,0,0.98,0,0,93.24,38.28,0,9.82,3.93,0,0.98,3.93,0.98,0,0,0,0,53,0,0,17.67,20.61,2.94,0.98,2.94,0.98,0,1.96,0,0,0.98,19.63,0,0.98,0.98,10.8,0.98,0
 72-82,0.98,1.96,2.94,0,149.21,31.41,0.98,7.85,4.91,0.98,0.98,10.8,0,0,1.96,0,0,66.75,0,4.91,22.58,21.6,0.98,0.98,1.96,0,0.98,0.98,0,0,0,6.87,0,0.98,0,21.6,1.96,0.98
 84-94,0,3.19,1.06,0,137,38.23,1.06,10.62,3.19,2.12,2.12,13.81,4.25,0,1.06,0,2.12,59.47,0,2.12,19.12,14.87,0,2.12,2.12,0,1.06,1.06,0,0,1.06,15.93,0,1.06,2.12,14.87,2.12,0
 96-106,1.09,3.28,2.19,1.09,111.47,37.16,1.09,7.65,4.37,1.09,1.09,20.76,1.09,0,3.28,2.19,1.09,45.9,1.09,2.19,10.93,9.84,0,1.09,13.11,0,1.09,5.46,0,0,2.19,10.93,0,2.19,0,13.11,2.19,1.09
108-118,0.77,4.6,2.3,0.77,78.89,31.4,0,1.53,3.83,3.06,0.77,16.85,3.06,0.77,1.53,1.53,2.3,33.7,0,3.06,22.21,16.85,1.53,0,7.66,0,1.53,0,0,0,1.53,12.26,0,1.53,0.77,13.79,3.83,0
120,1.96,1.96,0,0,86.23,25.48,0,5.88,1.96,3.92,0,9.8,0,1.96,1.96,1.96,1.96,35.28,0,5.88,19.6,9.8,3.92,0,3.92,0,0,0,0,0,1.96,7.84,0,0,0,7.84,1.96,1.96
