stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,2,7,1,3,2,3,0
 24-34,0,0.82,0.82,0,0,0,0,0.82,4.1,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,4.83,0,0,0,3.22,0
 48-58,0,0,0,0,0,0.57,2.87,0.57,2.3,0,0,0,1.72,0
 60-70,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0.98,0
 72-82,0.98,0.98,5.89,0,0.98,0.98,5.89,0,2.94,0,0,0,0,0
 84-94,0,1.06,2.12,0,0,0,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0.77
120,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,0
