stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,5,2,0,1,0,0,1,1,0,0,0,0,9,0,3,19,1,0,2,0,5,1,18,0,34,16,0,0,0,0
 24-34,0,0,0,0.82,7.39,0,0,0.82,0,0,0.82,0,1.64,0,0,0,1.64,0,0.82,6.57,0,0,0.82,0,31.19,0,0,0,0.82,4.93,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,0,1.61,0,0,0.81,0,0.81,0,0.81,0,4.83,0,0.81,6.45,0,0.81,0.81,0,29,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,6.89,0,0,1.72,0.57,0,1.15,0,0,0,0,0,2.3,0,0.57,4.59,0,0,0,0,26.97,0,0,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,0,9.82,0,0,6.87,0,1.96,5.89,0.98,0.98,0,2.94,0,21.59,0,0.98,4.91,0,0.98,0,0,27.48,0,0,0,0,2.94,0.98,0,0,0
 72-82,0,0,7.85,0,26.5,0,0,5.89,0,0,18.65,0.98,3.93,0.98,0,0,37.3,0,0.98,10.8,0,0,0.98,0,23.56,0,0,0,0,0.98,4.91,0.98,0.98,0
 84-94,0,0,1.06,0,37.17,0,0,14.87,0,1.06,16.99,1.06,4.25,0,1.06,1.06,20.18,0,2.12,5.31,0,0,0,0,59.47,0,0,0,0,1.06,3.19,0,0,0
 96-106,0,0,1.09,0,59.01,0,1.09,3.28,2.19,1.09,18.58,9.84,3.28,0,2.19,0,22.95,0,1.09,8.74,0,3.28,0,0,36.06,0,0,1.09,0,2.19,12.02,0,0,0
108-118,0,0,0,0,68.17,0,0,5.36,0.77,0.77,26.04,2.3,3.83,3.83,4.6,0.77,21.45,0,4.6,11.49,0,2.3,0,1.53,32.17,0,0,0,0,0,13.79,0,0,0
120,0,0,0,0,41.16,0,0,0,0,0,9.8,5.88,1.96,0,3.92,0,11.76,1.96,0,13.72,0,1.96,0,1.96,35.28,0,0,0,0,0,3.92,0,0,0
