stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,22.03,0,0,9.44,3.15,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,299,4,0,3,0,0,0,0,2,0,0,0,5,0,0,0,1,5,7,0,6,36,39,0,0,0,763,0,2,0,3,6,20,0,0,0,0,0
 24-34,0,0,1.64,190.44,0,0,14.78,0.82,4.1,0,4.93,0.82,2.46,0.82,0,8.21,0,0,0.82,1.64,13.95,32.01,0.82,7.39,196.18,9.03,1.64,1.64,0,1572.76,0,0,0.82,1.64,0.82,22.16,0,0,6.57,0,0.82
 36-46,0,0,0.81,63.65,0,0,12.89,0,9.67,0,4.03,0,0,0,0,7.25,0,0,0,0.81,8.06,23.36,0,1.61,161.94,1.61,1.61,0.81,0,1482.43,0,0,0.81,0,0,20.95,0,0,2.42,0,0.81
 48-58,0,0,0,20.66,0,0,30.41,0,18.94,0.57,5.16,1.15,0.57,0,0.57,2.3,0.57,0,0,0,13.2,17.21,0,1.72,179.6,0.57,0,0,0,1101.71,0,0,0.57,0,0,25.82,0,0.57,1.72,0,0.57
 60-70,0,0,0,9.82,1.96,0,43.19,0,10.8,0,6.87,0.98,0,0,0.98,4.91,0,0.98,1.96,0,11.78,7.85,0,0.98,296.42,0,0,0.98,0,719.46,0,0,0,0.98,0,14.72,0,0,0,0.98,0.98
 72-82,0,0,0,8.83,0.98,3.93,79.51,0,8.83,1.96,9.82,0,0,0.98,0.98,0.98,0,0,0.98,0,15.71,5.89,0,0.98,339.65,0.98,0,1.96,0,444.69,0,0,0,0,0,11.78,0.98,0,0,0.98,0.98
 84-94,0,0,0,10.62,0,7.43,62.66,0,23.36,0,12.74,1.06,0,0,0,12.74,0,1.06,4.25,0,7.43,12.74,0,1.06,233.65,1.06,0,1.06,0,1260.64,0,0,1.06,1.06,0,3.19,0,0,1.06,2.12,0
 96-106,0,0,0,10.93,1.09,31.69,55.74,2.19,8.74,2.19,14.21,2.19,0,0,1.09,16.39,0,0,4.37,0,10.93,7.65,1.09,2.19,196.71,1.09,0,0,0,597.79,0,0,1.09,0,0,5.46,0,0,0,3.28,0
108-118,0,0,0,3.06,0,50.55,39.83,0,14.55,0.77,3.06,0,0,0,0,22.21,1.53,0.77,9.19,0,11.49,20.68,0,0,235.15,0,1.53,0.77,0,374.56,0,0,0,0,0,1.53,0,0,2.3,1.53,0
120,0,0,0,9.8,0,17.64,48.99,0,19.6,0,7.84,0,0,0,0,0,0,0,5.88,0,9.8,7.84,0,1.96,262.61,0,0,1.96,0,203.82,0,0,0,0,0,5.88,0,0,0,1.96,1.96
