stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,962.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,26.29,0,0,0,23.66,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,273.39,5.26,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,26,0,0,0,0,0,0,0,256,162,8,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,9.85,77.16,0.82,0,0,0,0,0,0,0.82,0,0.82,0,0,7.39,0,0,27.91,261.03,1.64,0.82,0,0,0,2.46,0,117.38,160.07,64.85,0,0,0,0,1.64
 36-46,0,0,2.42,0,0,12.89,120.85,0,1.61,4.03,0,0,0,0,0,0,0,0,0,4.83,0,0,22.56,509.99,0,0,0.81,0,0,3.22,1.61,58.81,11.28,97.49,0,0,0,0,0
 48-58,0,0,0,4.02,0,54.51,130.83,0.57,0.57,12.62,1.15,0,0.57,0.57,0,0,0.57,0,0.57,20.08,0.57,0.57,17.79,699.47,0.57,0.57,1.72,0,0,1.72,0,45.9,0,111.32,0,0,0.57,0,5.16
 60-70,0,0,0.98,2.94,0,100.12,106,0.98,0.98,9.82,0,0,0.98,0,0,0.98,0,0,0,13.74,0.98,0.98,22.58,1225.92,0,0.98,0.98,0.98,0,3.93,0,33.37,0,124.65,0,0,1.96,0,1.96
 72-82,0,0,0.98,4.91,4.91,157.07,98.17,0,0.98,24.54,1.96,0,1.96,1.96,0,0,0.98,0.98,0,30.43,0,0.98,14.72,1080.81,0,0.98,0.98,0,0,3.93,0,17.67,0,66.75,0.98,1.96,3.93,5.89,0.98
 84-94,0,0,0,11.68,7.43,99.83,126.38,0,2.12,21.24,0,0,1.06,2.12,1.06,1.06,0,0,2.12,21.24,1.06,0,18.05,481.1,2.12,1.06,1.06,0,2.12,7.43,1.06,30.8,0,54.16,0,0,0,8.5,1.06
 96-106,0,0,2.19,15.3,12.02,79.78,206.55,2.19,1.09,26.23,2.19,0,2.19,2.19,0,1.09,1.09,3.28,0,39.34,0,3.28,18.58,415.28,0,1.09,0,0,0,13.11,0,31.69,0,20.76,1.09,2.19,4.37,15.3,1.09
108-118,0,0,2.3,6.13,3.06,50.55,136.34,1.53,1.53,13.02,0,0,0.77,1.53,0,0,1.53,0,1.53,12.26,0,0,25.28,399.07,0.77,3.83,1.53,0,1.53,3.06,0,32.17,0,19.92,0,1.53,0,8.43,0.77
120,0,0,1.96,9.8,1.96,62.71,82.31,0,0,19.6,0,0,1.96,1.96,0,0,1.96,0,0,17.64,1.96,0,15.68,405.68,1.96,3.92,1.96,0,0,5.88,0,9.8,0,19.6,0,0,0,3.92,0
