stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,32.83,0,0,0,0,0,6.57,0.82,0,0,0,0,0,14.78,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,0,2.42,0,0,0,0,0,0,0,0,0,0,21.75,0,0.81,0,0,1.61,7.25,0,0,0,0,0,0,16.11,0,1.61,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,0.57,0,0,0,0,0,0,48.77,0.57,0,0,0,0,10.33,0,0,0,0,1.15,0,2.87,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,12.76,0,0.98,0,1.96,0,0,0,0,0.98,0,76.56,0.98,2.94,0.98,0,0.98,11.78,0.98,0.98,0,0,0.98,0,3.93,0,2.94,0,0,0.98,0,0.98
 72-82,0,0,0,0,5.89,4.91,0,28.47,0,0.98,0.98,9.82,1.96,0,0.98,0,0,0.98,176.7,0,19.63,0.98,0,1.96,67.73,0,0,0.98,0,8.83,0,4.91,0,5.89,1.96,0,4.91,0.98,1.96
 84-94,0,0,1.06,2.12,6.37,1.06,1.06,24.43,1.06,1.06,0,7.43,1.06,1.06,4.25,0,3.19,0,518.27,0,19.12,1.06,1.06,0,63.72,1.06,0,0,0,9.56,0,6.37,1.06,0,0,2.12,2.12,1.06,1.06
 96-106,0,0,0,2.19,32.79,18.58,7.65,76.5,1.09,6.56,8.74,34.97,16.39,3.28,12.02,12.02,3.28,3.28,802.15,2.19,88.52,4.37,2.19,3.28,287.42,3.28,12.02,6.56,3.28,64.48,0,9.84,1.09,6.56,2.19,2.19,17.49,6.56,5.46
108-118,0,0,0.77,0.77,26.04,11.49,7.66,86.55,0.77,8.43,3.83,32.17,9.19,0.77,9.19,3.83,4.6,3.06,1535.76,2.3,63.57,2.3,0.77,13.02,277.28,0.77,4.6,5.36,2.3,37.53,0,5.36,1.53,4.6,2.3,0.77,7.66,3.83,9.19
120,0,0,0,0,15.68,9.8,1.96,56.83,1.96,5.88,1.96,19.6,5.88,3.92,11.76,1.96,5.88,0,834.87,0,47.03,0,0,7.84,186.18,1.96,5.88,1.96,0,11.76,0,7.84,0,1.96,0,3.92,0,0,3.92
