stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,otic,periderm,spinal.cord,taste,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,4.1,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56,0,0,0,6.45,0,0
 48-58,0,0,0,0,4.02,0,0,0,0.57,0,1.15,0,0,26.97,0,0,0,8.61,0,0
 60-70,0,0,0.98,0,22.58,0,0,0.98,0,0,0,0,0,93.24,0,0,0,20.61,0,0
 72-82,0,0,0,0,90.31,0,0,2.94,0,0,4.91,0,0,163.94,0,0,0,11.78,0,0
 84-94,0,0,0,0,64.78,0,0,5.31,0,0,1.06,0,0,103.02,0,1.06,1.06,19.12,0,0
 96-106,0,0,2.19,0,85.24,0,0,3.28,0,0,1.09,1.09,0,113.66,0,1.09,0,13.11,0,0
108-118,0,0,2.3,0,68.94,1.53,0.77,3.06,0,0.77,0.77,0,0,101.87,0,1.53,0,3.83,0.77,0.77
120,0,0,0,0,48.99,1.96,0,13.72,0,0,3.92,0,1.96,158.74,1.96,0,0,13.72,0,0
