stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,15.73,0,0,50.35,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,90,26,0,11,0,0,0,9,4,9,0,0,1,0,0,2,208,0,0,161,230,6,1,12,10,0,1,0,65,1,4,56,126,0,0,34,0,0
 24-34,0.82,0,0,2.46,56.64,6.57,0,22.16,0,0.82,14.78,49.25,4.1,25.45,0,0,2.46,1.64,0.82,0.82,682.95,0,0.82,378.41,554.08,4.1,4.1,13.13,0,1.64,3.28,0,0.82,1.64,4.93,27.91,210.14,0,0,182.23,0,2.46
 36-46,0,0,0,0,27.39,0.81,0,25.78,0.81,1.61,48.34,100.71,0,34.64,0.81,0,2.42,0,0,0,1086.85,0,26.59,370.61,428.62,2.42,2.42,16.92,0,2.42,0,0.81,1.61,0.81,5.64,0.81,188.53,0,4.03,126.49,0,0
 48-58,0.57,0,0,0,17.79,0.57,0,48.2,1.15,1.15,56.81,129.68,0,35,1.15,0,0.57,0.57,2.3,1.15,1422.46,1.15,49.92,266.82,244.44,0.57,0.57,12.05,0,6.31,1.72,0,0,1.15,1.15,0,122.22,0,7.46,84.92,0.57,0.57
 60-70,0,0,0,0,25.52,0.98,0,51.04,5.89,2.94,68.71,161.95,0,27.48,2.94,0,0,0.98,0.98,1.96,1798.15,0.98,78.52,210.05,212.99,0,0.98,12.76,0,20.61,4.91,0,0,0,0,0,56.93,0,45.15,56.93,16.69,0.98
 72-82,0,0,0,0,61.84,1.96,0,192.41,8.83,3.93,128.6,373.03,2.94,49.08,3.93,1.96,1.96,7.85,0.98,0,2590.61,0.98,113.87,267.01,284.68,0,2.94,33.38,0,30.43,4.91,0,0,0,0,0,30.43,1.96,81.48,98.17,83.44,2.94
 84-94,2.12,0,0,0,77.53,3.19,1.06,227.28,5.31,2.12,109.39,228.34,0,33.99,8.5,2.12,4.25,5.31,1.06,1.06,1862.81,0,130.63,211.35,207.1,0,4.25,26.55,0,25.49,1.06,0,0,3.19,1.06,0,39.3,2.12,69.03,90.27,77.53,2.12
 96-106,1.09,0,0,0,165.02,4.37,3.28,246.98,7.65,10.93,95.08,354.08,5.46,75.41,9.84,3.28,6.56,4.37,3.28,3.28,2229.41,4.37,113.66,198.9,375.94,3.28,7.65,64.48,1.09,54.64,12.02,0,0,5.46,0,0,28.41,1.09,89.61,142.07,118.03,4.37
108-118,0,0,0,0.77,117.96,3.83,1.53,128.68,6.13,6.89,100.34,321.7,4.6,30.64,7.66,9.19,9.96,3.06,3.83,1.53,2269.55,2.3,101.87,198.38,297.96,0.77,6.13,53.62,0,57.45,6.13,0,0,3.06,0.77,0,26.81,4.6,62.04,121.02,67.4,5.36
120,0,0,1.96,0,74.47,1.96,0,70.55,7.84,11.76,56.83,209.7,1.96,39.2,7.84,5.88,3.92,5.88,5.88,0,1708.93,0,125.43,162.66,266.53,0,0,48.99,1.96,54.87,9.8,0,0,0,0,0,17.64,1.96,54.87,76.43,66.63,0
