stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,55.17,655.87,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,30.65,0,18.39,0,0,0,0,0,0,0
  7-9,7.89,18.4,34.17,0,0,65.72,0,0,0,10.51,0,0,0,0,0,0,0,0,580.95,13.14,0,0,252.36,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,12.59,22.03,0,0,88.12,0,0,0,3.15,0,0,0,0,0,0,0,0,494.07,9.44,0,0,245.46,0,0,0,0,22.03,0,0,0,0
 14-21,0,0,1,13,1,6,0,2,1,0,1,0,0,0,0,0,4,6,98,1,0,1,0,0,0,0,12,1,9,20,0,0
 24-34,0,0,1.64,0.82,0,11.49,0,2.46,0.82,0,0,0,0,0,0.82,0,8.21,2.46,104.25,0.82,1.64,0.82,0,0,2.46,0,0,0,0,29.55,2.46,0
 36-46,0,0,0,1.61,0,24.17,0,3.22,0,0,0,0,0.81,0,0,0,8.06,0,68.48,0,0,0,0,0,0,0,0,0,0,12.09,2.42,0
 48-58,0,0,0,1.15,0,25.25,0.57,3.44,0,0,0,0,0,0,0,0,4.59,1.15,43.61,0,0,0.57,0,0,1.15,0,0,0,0,6.89,1.15,0
 60-70,0,0,0,0.98,0,14.72,0,0.98,0,0,0,0,0,0,0,0,11.78,0.98,46.13,0,0,0,0,0,1.96,0,0,0,0,4.91,0.98,0
 72-82,0,0,0,0,0,3.93,0,4.91,0,0,0,0,0,0,0,0,5.89,0,30.43,0,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,3.19,0,12.74,0,5.31,0,0,1.06,0,1.06,0,0,0,4.25,2.12,14.87,2.12,0,1.06,0,0,1.06,0,0,0,0,4.25,1.06,0
 96-106,0,0,0,2.19,2.19,6.56,0,2.19,1.09,0,0,1.09,1.09,0,0,0,7.65,4.37,14.21,0,0,2.19,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,5.36,0,0.77,0.77,0,0.77,0.77,0,0,0,0.77,5.36,3.06,16.09,0.77,0.77,0.77,0,0,0,0,0,0,0,1.53,0.77,0.77
120,0,0,0,0,1.96,7.84,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0
