stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,12,4,0,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,2,19,2,1,0,0,0,3,1,9,1,33,0,0,0,0,0
 24-34,0,0,0,1.64,9.03,0.82,0,2.46,0,1.64,2.46,0,0,0,0,0.82,0.82,0,0,11.49,0,0,7.39,33.66,1.64,1.64,4.1,0,0,1.64,0,7.39,2.46,24.63,0,0,4.93,0,0.82
 36-46,0,0,0,0.81,2.42,1.61,0,3.22,0,0.81,6.45,0,0,0.81,0,0,0,0,0,8.06,0,0,3.22,26.59,0.81,0.81,0.81,0,0,0.81,0,3.22,0,13.7,0,0,3.22,0,0
 48-58,0,0,0,0,4.59,0.57,0,5.74,1.15,0,6.89,0,0.57,0,0,0,0.57,0,0.57,14.35,0,0,0.57,10.33,0,0.57,1.15,0,0,1.72,0,0.57,0,13.77,0,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,3.93,0.98,1.96,5.89,0,0,0,0,0,0.98,0,0,13.74,0.98,0.98,1.96,11.78,0.98,1.96,2.94,0,0,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,5.89,0,1.96,14.72,0.98,0,0.98,0,0,0.98,0,0,20.61,0,1.96,0.98,14.72,0,1.96,4.91,0,0.98,0,0,0.98,0,6.87,0,0,2.94,0.98,0.98
 84-94,0,0,1.06,0,2.12,0,0,5.31,0,1.06,4.25,1.06,1.06,0,0,0,0,0,0,13.81,0,0,1.06,9.56,1.06,1.06,6.37,0,0,2.12,0,1.06,0,3.19,0,1.06,9.56,2.12,0
 96-106,0,0,0,0,3.28,0,0,4.37,1.09,1.09,7.65,1.09,0,0,0,0,4.37,0,0,18.58,1.09,0,2.19,6.56,1.09,0,5.46,0,0,3.28,0,1.09,0,4.37,1.09,0,2.19,0,1.09
108-118,0,0,0,0.77,2.3,0,2.3,6.89,0.77,1.53,5.36,1.53,0,0,0.77,0,1.53,0,0,3.83,0,0,1.53,8.43,1.53,0.77,8.43,0,0,2.3,0,2.3,0,3.06,0.77,0,4.6,0,0.77
120,0,0,1.96,0,0,0,0,1.96,1.96,0,0,1.96,0,0,1.96,3.92,3.92,1.96,0,7.84,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0
