stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,55.2,10.51,0,0,31.54,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,37.76,0,0,0,0,0,0,0,0
 14-21,0,1,0,7,4,0,2,0,0,2,0,1,0,0,0,0,0,2,4,0,0,5,29,21,0,1,1,0,8,1,0,25,16,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,0,0,0.82,0,0.82,0.82,1.64,0,0,2.46,4.93,0,0,5.75,22.16,0,0,0,0,0,0,1.64,0,0,4.1,4.1,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,1.61,0,0.81,0,0,0,0.81,2.42,0,0,0,10.47,3.22,0,0,0,1.61,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,1.15,1.15,0,0,0,0,0.57,1.72,0.57,0,0,1.72,6.89,0.57,0,0,0,0.57,0,0,0,0,1.72,0.57,0
 60-70,0,0,0,0.98,0,0,9.82,0,0,0,3.93,5.89,0,0.98,0.98,0,0,1.96,1.96,0,0,0,8.83,0,0,0,0,1.96,0,0.98,0.98,0,0,1.96,0
 72-82,0,0,0,0,0,0,6.87,0.98,0,1.96,12.76,1.96,0.98,0,0,0,0.98,32.39,3.93,0,0,0,19.63,0,0,0,0,3.93,0,3.93,0,0,1.96,0,0.98
 84-94,0,0,0,1.06,0,1.06,5.31,0,0,1.06,45.67,3.19,0,1.06,0,1.06,0,124.26,5.31,0,0,0,10.62,0,0,0,0,5.31,0,10.62,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,1.09,3.28,0,2.19,1.09,44.81,0,0,1.09,0,0,0,138.79,5.46,2.19,0,0,18.58,0,0,1.09,0,8.74,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,3.83,2.3,1.53,1.53,0,0,2.3,58.98,0,0,0,0,0,0,303.32,5.36,0.77,0,1.53,18.38,0,0.77,0,0,3.83,0,4.6,2.3,0,1.53,0.77,0
120,0,0,0,5.88,3.92,1.96,7.84,1.96,0,0,35.28,0,0,1.96,0,0,1.96,188.14,1.96,0,1.96,0,11.76,1.96,0,1.96,0,1.96,0,3.92,0,0,1.96,1.96,0
