stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1278.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,21.03,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,102.52,2.63,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,44.06,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,484.63,6.29,0,0,37.76,0,3.15,6.29,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,5,40,19,10,0,0,0,4,3,0,3,0,0,0,0,0,1,41,0,25,149,1,1,1,0,0,0,4,6,1,0,39,78,0,0,4,0,0
 24-34,0,0,2.46,3.28,13.95,3.28,19.7,0,0,0.82,4.93,0.82,0,3.28,0,0.82,0,0,0.82,0,43.51,0,19.7,320.13,1.64,5.75,3.28,0,0.82,5.75,0,0,0.82,0,9.03,114.92,0,0,18.06,0,0
 36-46,0,0,0,0,3.22,0.81,17.72,0.81,0,3.22,24.98,0.81,0,1.61,0,0,0,0,0,0,59.62,0,12.89,402.03,3.22,6.45,5.64,0,0,0.81,1.61,0,0.81,1.61,0,136.16,0,0,10.47,0,1.61
 48-58,0,0,0,0.57,1.15,0,23.53,0,0.57,1.15,47.05,0,0,2.87,0,0.57,0.57,0,0,0.57,49.92,1.15,8.03,354.04,2.3,2.3,1.15,0,0,0.57,0.57,0,0.57,0,0,120.5,0,0.57,4.02,0,0
 60-70,0,0,0,0,5.89,0.98,50.06,0,0.98,3.93,76.56,0.98,0,0,0.98,0,1.96,0.98,0.98,0,82.45,0.98,10.8,749.88,1.96,4.91,1.96,0,0,0.98,0.98,0,0.98,0,0,128.58,0,0.98,2.94,0,1.96
 72-82,0,0,0.98,0,5.89,0,160.01,0,0.98,5.89,107.98,1.96,0,1.96,1.96,0.98,1.96,0.98,0,0,164.92,2.94,11.78,806.93,0,13.74,14.72,0,0.98,1.96,0,0,1.96,0,0,97.18,0,8.83,12.76,5.89,0.98
 84-94,0,0,0,0,18.05,1.06,155.06,1.06,1.06,5.31,78.59,2.12,0,2.12,4.25,0,1.06,3.19,0,0,116.82,2.12,11.68,444.99,2.12,12.74,14.87,0,0,4.25,0,0,4.25,0,0,59.47,0,3.19,8.5,1.06,3.19
 96-106,0,0,4.37,0,15.3,1.09,104.91,0,0,1.09,68.85,4.37,0,3.28,6.56,1.09,3.28,5.46,0,0,90.71,9.84,7.65,399.98,2.19,16.39,6.56,0,1.09,4.37,0,0,1.09,0,0,28.41,2.19,1.09,9.84,3.28,1.09
108-118,0,0,0.77,0,13.02,2.3,101.87,0.77,0.77,3.06,65.87,9.19,0,0.77,3.83,0.77,3.06,0.77,3.83,1.53,81.96,1.53,6.89,417.45,0,5.36,7.66,0,0.77,2.3,0,0,0.77,0,0,19.92,0,3.06,9.96,1.53,6.13
120,0,0,1.96,0,15.68,0,41.16,1.96,5.88,1.96,45.08,9.8,0,1.96,7.84,1.96,3.92,0,0,0,76.43,1.96,13.72,409.6,1.96,3.92,9.8,0,0,1.96,0,0,0,0,0,13.72,1.96,1.96,13.72,0,0
