stage,blastomeres,erythrocytes,eye,glial,heart,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,10,1,0,0,8,0,1,0
 24-34,0,0,0,1.64,0,0,0,0,1.64,0,44.33,0.82,0,0,22.16,0,0.82,0
 36-46,0,0,2.42,1.61,0,0,0,0.81,3.22,0,116.02,0,0,0,33.84,0,4.03,0.81
 48-58,0,0,14.35,3.44,0,0,0,0,4.59,0,49.92,0.57,0,0.57,22.95,0,0,0
 60-70,0,0,16.69,1.96,0,0,0,0,8.83,0.98,32.39,0.98,0,0,7.85,0.98,0,0
 72-82,0,0.98,11.78,4.91,1.96,0.98,0,0,12.76,0,19.63,0,0,0,4.91,0,1.96,0.98
 84-94,0,0,12.74,2.12,0,1.06,1.06,0,7.43,1.06,23.36,0,0,0,6.37,1.06,0,1.06
 96-106,0,0,4.37,0,0,0,0,0,7.65,0,7.65,1.09,0,0,0,0,0,1.09
108-118,0,0,4.6,0,0,0.77,0.77,0,8.43,0,16.85,0,0,0,0.77,0,0.77,1.53
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
