stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,47.2,6.29,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,17,17,2,0,0,1,0,4,0,0,0,4,0,0,3,10,3,0,1,0,2,0,4,13,27,0,0
 24-34,0,0,0,11.49,4.1,0,3.28,0,0.82,0,6.57,0,0.82,0,1.64,0,0,4.93,7.39,2.46,0.82,0,0,0,0,0,7.39,126.41,0,0
 36-46,0,0,0,4.83,0,0.81,0.81,0.81,0.81,0,8.86,0,0,0,1.61,0,0,1.61,3.22,0,1.61,0,0,0,0,0,0.81,132.94,0,0
 48-58,0,0,0,6.31,0,0.57,2.87,0,1.15,0,13.2,0,0,0,3.44,0,0.57,0.57,6.89,0,0,0,0,0,0,0,4.02,125.66,0,0
 60-70,0,0,0,3.93,0.98,2.94,0,0.98,0.98,0,7.85,0,0,0,7.85,0,0,0,5.89,0.98,0,0,0,0,0,0,2.94,103.06,0,0
 72-82,0,0,0,11.78,0,1.96,0.98,1.96,3.93,0,14.72,0,0,0,29.45,0,0.98,0,7.85,0,0,0,0,0,0,0,0.98,210.08,0.98,0
 84-94,0,0,0,16.99,1.06,5.31,2.12,1.06,3.19,0,7.43,0,0,0,18.05,0,1.06,0,5.31,0,1.06,0,0,0,0,0,1.06,182.67,1.06,0
 96-106,0,0,0,8.74,1.09,2.19,1.09,2.19,1.09,1.09,19.67,5.46,0,0,25.14,1.09,1.09,1.09,7.65,1.09,1.09,0,2.19,0,1.09,0,0,213.11,1.09,0
108-118,0,0,0,6.89,0.77,4.6,3.06,0,2.3,0,7.66,0.77,0,0.77,9.96,0,0,0.77,7.66,0,0,0,0.77,0,0.77,0,0.77,144,0,0.77
120,0,0,0,15.68,0,0,0,1.96,0,0,5.88,0,1.96,0,3.92,0,0,0,3.92,0,0,0,0,0,0,0,0,117.59,0,0
