stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0.82,0,0,0,0,2.46,0,0,2.46,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0.81,0,0.81,0.81,0,0.81,0,0,6.45,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0,0,0.57,0
 60-70,0,0,8.83,0,0,0,0,1.96,0,0,1.96,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,2.94,0,0,1.96,0,2.94,0.98,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,1.06,3.19,1.06,0,1.06,0,2.12,0,0,1.06,1.06,0,0,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0.77,1.53,0,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0
