stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,2.63,0,2.63,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,1,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,8.21,0,0,0,0,4.93
 36-46,0,0,0,0,0,0,0,0,12.09,0,0,0,0,3.22
 48-58,0,0,0,0,2.3,0,0,0.57,14.35,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0,21.59,0,0,0,0,1.96
 72-82,0,0.98,0,0.98,7.85,0.98,0.98,0,24.54,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,8.5,0,0,0,0,3.19
 96-106,0,0,0,0,0,0,0,0,8.74,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,0,0,12.26,0,0.77,0,0.77,0.77
120,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
