stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,1,17,2,1,0,0,0,0,0,2,1,0,2,31,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,13.13,0,0,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0,3.28,149.4,0,12.31,2.46,0,0,0.82,0,0,0,0,0,83.73,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.25,0,0,0,2.42,0,0,0.81,0,0,0.81,0,0,25.78,0,0,2.42,284.4,0,24.17,1.61,0,0,0.81,0,0,0,0,0,126.49,0,0,0.81,0,0
 48-58,0,0,0,2.3,0.57,0,44.18,0,0,1.15,3.44,0,0,0,0,0,0,0,0,61.97,0,0.57,3.44,355.19,0.57,22.95,3.44,0,0,1.15,0,0,0,0,0,122.79,0,0,0.57,0,1.15
 60-70,0,0,0,3.93,0,0,197.29,0,0,0,8.83,0,0,0.98,0.98,0.98,0,0,0,150.17,0.98,0.98,1.96,708.66,0.98,28.46,3.93,0,0,0,0,0,0,0.98,0,151.15,0,1.96,1.96,0,0
 72-82,0,1.96,0,9.82,3.93,0,389.72,0,1.96,1.96,23.56,1.96,0,0.98,1.96,1.96,0.98,0.98,0,260.14,0,6.87,4.91,839.32,0.98,45.16,8.83,0,0,3.93,0,0,0,0,0,93.26,0,4.91,2.94,3.93,0.98
 84-94,0,2.12,0,16.99,4.25,0,238.96,1.06,0,2.12,26.55,3.19,0,2.12,6.37,1.06,1.06,1.06,0,182.67,0,6.37,5.31,461.99,1.06,44.61,6.37,0,0,2.12,0,0,0,1.06,0,50.98,0,2.12,2.12,7.43,0
 96-106,0,2.19,0,6.56,2.19,1.09,256.82,1.09,2.19,0,27.32,3.28,0,3.28,13.11,2.19,1.09,2.19,2.19,191.25,0,1.09,5.46,445.88,1.09,55.74,7.65,0,2.19,5.46,0,0,3.28,2.19,0,26.23,1.09,1.09,7.65,5.46,2.19
108-118,0,1.53,0,6.89,3.83,5.36,178.47,0,0.77,0,21.45,2.3,0,0,12.26,0,0.77,0,0.77,172.34,0.77,1.53,3.06,454.22,0,36,9.96,0,1.53,2.3,0,0,1.53,3.83,0,14.55,0,6.89,6.13,6.13,0
120,0,0,0,19.6,3.92,1.96,205.78,1.96,1.96,0,37.24,1.96,0,0,13.72,1.96,0,0,0,176.38,0,1.96,3.92,683.97,5.88,23.52,7.84,0,0,5.88,0,0,1.96,0,0,27.44,1.96,0,9.8,5.88,0
