stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,20,8,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,4,0,0,1,0,1,0,1,0,0,4,0,0,0,0,0
 24-34,0,0,0,26.27,2.46,0,0,0,1.64,0,0,7.39,0,0,0.82,4.1,0.82,0.82,0,0,4.93,0.82,0.82,0,0,0,0,2.46,0,0.82,7.39,0,0,0,0,0
 36-46,0,0,0,0.81,1.61,0,0,0.81,0.81,0,0.81,9.67,0,0,0,5.64,0,1.61,0,1.61,4.83,0,0,0.81,0,0,0,3.22,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,2.3,4.02,0,0,2.87,0,0,1.15,12.05,0,0,0,4.02,0,1.15,0,0.57,4.02,0,0,0,0,0,0,1.15,0,0,2.87,0,0,0,0,0
 60-70,0,0,0.98,0,3.93,0,0,0,0,0,1.96,24.54,0,0,0,7.85,0,1.96,0,0,2.94,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,7.85,0,6.87,0.98,0.98,6.87,0,0.98,0,69.7,0,0,2.94,3.93,0,14.72,1.96,0.98,19.63,0,0,0,1.96,0.98,0,2.94,0,0,0.98,0.98,0.98,0,0.98,0
 84-94,0,0,4.25,4.25,4.25,0,0,3.19,0,0,3.19,137,0,1.06,0,32.92,0,5.31,0,0,7.43,0,1.06,0,0,1.06,0,5.31,0,0,0,2.12,1.06,1.06,3.19,0
 96-106,0,0,5.46,5.46,5.46,1.09,1.09,5.46,0,0,4.37,232.78,0,0,0,41.53,0,7.65,2.19,1.09,33.88,1.09,0,0,0,2.19,0,4.37,0,0,1.09,0,2.19,0,1.09,0
108-118,0,0,4.6,8.43,6.13,0,10.72,1.53,0,0,1.53,324,0,1.53,2.3,105.7,0,5.36,1.53,0,50.55,0,0.77,0,0,3.06,0,6.89,0,0,0,3.83,0,0,0.77,0.77
120,0,0,5.88,1.96,0,3.92,5.88,5.88,0,0,3.92,244.97,0,0,0,113.67,1.96,9.8,0,0,31.36,0,0,1.96,1.96,0,1.96,7.84,3.92,0,1.96,3.92,1.96,0,1.96,0
