stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,4,7,0,0,1,0,0,0,0,0,0,19,0,0,0,1,2,0,1,18,0,3,0,0,0,1,4,70,0,0,0,0,0,0
 24-34,0.82,0,0.82,0,3.28,0.82,0,0,0,0,0,18.88,0,0,0,0,0.82,0,0.82,21.34,0,7.39,0,0,0,0,0,9.85,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,28.2,0.81,0,0,0,0,0,2.42,0,3.22,0,0.81,0,0.81,0.81,15.31,0,5.64,0,0,1.61,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,1.15,0,0,33.85,0.57,0,0.57,0.57,0,0,0,0,4.02,0,1.72,0,0,2.3,18.94,0,9.75,0,0,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,1.96,0,0,53,2.94,0,0.98,0,0,0,0.98,0,4.91,0,3.93,0,0,0,19.63,0,13.74,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,41.23,0,0,3.93,8.83,0.98,0.98,0,0,9.82,0,1.96,0.98,0.98,3.93,24.54,0.98,23.56,0,0,0,0,0,0,4.91,0,0,0,0,0
 84-94,0,0,1.06,0,56.29,2.12,1.06,2.12,9.56,0,0,5.31,0,10.62,1.06,4.25,0,0,6.37,19.12,0,41.42,0,0,0,0,0,0,3.19,2.12,0,2.12,0,0
 96-106,0,1.09,0,0,42.62,2.19,1.09,3.28,24.04,0,0,1.09,1.09,26.23,0,2.19,1.09,0,1.09,12.02,0,40.44,0,0,3.28,0,0,0,1.09,0,0,1.09,0,2.19
108-118,0,0.77,0,0.77,42.89,1.53,0,4.6,32.17,0,0,1.53,0,16.85,0,1.53,0,0.77,3.06,14.55,0.77,26.04,0,0.77,0,0,0,0,1.53,0.77,0,0,0,0
120,0,0,0,0,47.03,1.96,1.96,5.88,19.6,0,0,0,0,11.76,0,7.84,0,0,5.88,31.36,0,31.36,0,0,0,0,0,0,1.96,0,0,0,1.96,0
