stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,0,15.77,0,7.89,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,0,0,0,9.44,0,9.44,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,6.57,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0.57,0,2.87,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,3.19,0,0,1.06,0,0
 96-106,0,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
