stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.2,22.03,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,30,1,0,54,0,5,0,13,1,0,0,0,0,0,2,0,1,5,0,0,0,685,301,0,1,0,0,2,6,0,2,247,0,0,0,0,0
 24-34,0,0.82,0.82,0.82,75.52,1.64,0,52.53,0,22.16,1.64,62.39,8.21,0,4.1,0,0,0,30.37,0.82,0,27.91,1.64,0,5.75,738.77,131.34,6.57,3.28,0,0.82,4.93,13.95,0.82,1.64,343.12,0,0,0,0,0
 36-46,0,0,0.81,0,76.54,0,0,41.89,0,45.12,0,157.11,7.25,0,10.47,0,0,0,37.06,0.81,0,38.67,4.03,5.64,4.03,692.88,89.43,8.86,7.25,0,0.81,10.47,7.25,4.03,0,331.94,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,78.61,2.3,0,80.91,0.57,72.87,1.15,257.64,4.02,0.57,12.05,0.57,0.57,0,28.69,0,0,60.25,0.57,5.74,4.02,574.38,63.69,8.03,14.35,0,1.72,46.48,9.18,4.02,0,216.32,0,0,1.72,0,0
 60-70,0,0,0,0,73.61,3.93,0,86.37,1.96,87.36,0,288.57,6.87,0,6.87,0.98,1.96,0,25.52,0,0,60.85,2.94,2.94,0.98,571.25,30.43,5.89,28.46,0,0.98,70.67,11.78,2.94,0,117.78,0,0,0,0,0
 72-82,0,0,3.93,0.98,61.84,8.83,0,112.89,2.94,106.02,1.96,343.58,10.8,0,5.89,0,6.87,0,44.17,0,0,105.04,0.98,1.96,1.96,516.35,18.65,4.91,55.95,0,0,46.14,9.82,2.94,0,59.88,0.98,0.98,4.91,0.98,4.91
 84-94,0,0,0,0,105.14,3.19,0,142.31,4.25,182.67,0,230.46,15.93,0,3.19,2.12,2.12,0,32.92,0,2.12,83.9,0,6.37,2.12,299.49,29.74,8.5,53.1,0,1.06,86.03,20.18,4.25,0,38.23,3.19,2.12,5.31,1.06,0
 96-106,0,0,0,0,85.24,24.04,1.09,126.77,8.74,213.11,1.09,194.53,12.02,0,17.49,0,3.28,1.09,57.92,4.37,0,80.87,1.09,4.37,8.74,220.76,15.3,3.28,76.5,0,1.09,24.04,8.74,3.28,0,29.51,2.19,3.28,2.19,3.28,0
108-118,0,0,0.77,0,82.72,6.89,0.77,114.13,5.36,299.49,0.77,178.47,5.36,0,3.06,0.77,3.83,0,36.77,1.53,0,78.89,0,4.6,1.53,255.83,10.72,1.53,68.94,0,1.53,9.96,8.43,3.83,0,19.15,0.77,0,2.3,0,1.53
120,1.96,0,0,0,58.79,9.8,0,60.75,7.84,174.42,0,135.23,5.88,0,5.88,1.96,3.92,0,19.6,0,0,70.55,1.96,5.88,1.96,243.01,13.72,3.92,52.91,0,1.96,5.88,7.84,1.96,0,3.92,0,1.96,1.96,1.96,1.96
