stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,18,0,1,0,0,0,0,1,0,0,2,9,0,0,0,0,0
 24-34,0.82,0.82,3.28,0.82,7.39,0,0,0,1.64,0,0,0.82,0,0,0,0,0,1.64,0,0,0,86.19,0,0.82,1.64,0,0,0.82,0,0.82,0.82,1.64,16.42,0,0,4.1,0,0
 36-46,0,0,3.22,0.81,16.11,0,0,0,2.42,0,0,0,0,0,0,0,0.81,9.67,0,0,2.42,52.37,0,0.81,0,0,0,1.61,0,1.61,0,0,13.7,0,0,0.81,0,0
 48-58,0,0,0,0,16.64,0,0,1.72,5.16,0,0,0,0.57,0,0,0.57,0,13.77,0,0.57,1.15,51.64,0,0.57,0.57,0,0,1.15,0,0,0,0,12.05,0,0,1.72,0,1.72
 60-70,0,0,0,0.98,27.48,0.98,0,0.98,9.82,0.98,0,0,0,0,0,0,0,9.82,0,0,0.98,66.74,0,0,0,0,0.98,0.98,0,0,0,0,8.83,0,0,0.98,0,0
 72-82,0,0,1.96,0.98,37.3,0,0.98,0.98,10.8,1.96,0,0,0.98,0,0,1.96,0,19.63,0.98,0,2.94,76.57,0,1.96,3.93,0,0,0.98,0,0,0,0,8.83,0,0.98,3.93,0,0.98
 84-94,0,0,2.12,0,12.74,0,1.06,0,4.25,1.06,0,0,1.06,0,0,1.06,0,11.68,1.06,2.12,3.19,43.54,0,0,3.19,0,2.12,3.19,0,0,0,0,3.19,0,1.06,3.19,1.06,0
 96-106,0,0,4.37,0,31.69,0,0,0,14.21,2.19,0,0,0,1.09,0,1.09,0,13.11,0,2.19,3.28,42.62,1.09,1.09,2.19,0,0,4.37,0,0,0,0,0,0,2.19,2.19,1.09,0
108-118,0,0,3.06,0,20.68,0,1.53,2.3,3.83,0,0,0,1.53,0.77,1.53,0.77,0,14.55,0,0,4.6,52.09,0.77,0.77,3.83,0,0,1.53,0,1.53,0,0,3.06,0,0,7.66,0.77,0.77
120,0,0,0,0,19.6,0,0,0,11.76,0,0,0,0,0,0,0,0,9.8,0,0,1.96,45.08,0,0,3.92,0,0,1.96,0,1.96,1.96,0,5.88,1.96,0,0,1.96,0
