stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,6.29,0,0,0,0,0,37.76,0,0,6.29,0,0,0,0
 14-21,0,0,6,21,0,0,0,0,0,1,1,1,0,0,0,0,4,0,1,0,0,0,0,0
 24-34,0,0,0.82,11.49,0,3.28,1.64,0,0,1.64,0,0,1.64,0,1.64,0.82,1.64,2.46,3.28,0,5.75,0.82,0,0
 36-46,0,0,0,4.03,0,3.22,0,0,0,0.81,0,0.81,0.81,0,0,0,4.83,2.42,7.25,0,2.42,2.42,0,0
 48-58,0,0,0,2.87,0,1.72,0,0,0,0,0,0,0,0.57,0,0,5.16,1.15,4.59,0,1.72,0.57,0.57,0
 60-70,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,0,0.98,0.98,1.96,1.96,0,3.93,0,4.91,0.98,0,0
 72-82,0,0.98,0,3.93,0,2.94,0.98,0,0,1.96,0,1.96,1.96,0,0,0.98,3.93,6.87,7.85,0,6.87,0.98,0,0
 84-94,0,0,1.06,16.99,0,2.12,4.25,0,1.06,5.31,0,3.19,0,1.06,1.06,1.06,2.12,1.06,6.37,0,9.56,1.06,0,0
 96-106,0,0,0,7.65,0,3.28,1.09,0,0,14.21,0,3.28,4.37,1.09,0,2.19,1.09,5.46,10.93,0,4.37,2.19,0,1.09
108-118,0,0,0,13.02,5.36,6.89,2.3,0,0,6.13,0,0.77,1.53,2.3,1.53,0.77,2.3,1.53,9.96,0,3.06,2.3,0,0.77
120,0,1.96,0,9.8,0,3.92,1.96,1.96,0,7.84,0,0,0,1.96,0,1.96,3.92,0,9.8,0,5.88,1.96,0,1.96
