stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,16,0,0,0,2,0,1,0,7,1
 24-34,0,0.82,0,4.93,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,44.33,0,0,0,0,0.82,0,0.82,12.31,0.82
 36-46,0,0,0,7.25,0,0,0,3.22,0,0,0,0,0,0,4.83,0,0,0,23.36,0,0,0,0,0,0,0,5.64,1.61
 48-58,0,0,0.57,10.33,0,0.57,0,3.44,0,0.57,0,0,0,0,5.16,0,0,0,20.66,0,0.57,0,0,0,0,0,4.02,0
 60-70,0,0,1.96,8.83,0,0,0,0.98,0,0,0,0,0.98,0,3.93,0,0,0,15.7,0,0.98,0.98,0,0.98,0,0,0.98,0
 72-82,0,0,1.96,3.93,0,0,0,2.94,0,0,0,0,0,0,6.87,0,0,0.98,10.8,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,1.06,2.12,0,1.06,1.06,1.06,1.06,1.06,0,0,0,0,1.06,0,0,0,6.37,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,2.19,1.09,0,0,0,0,0,0,0,0,0,3.28,0,0,1.09,4.37,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,2.3,0,0.77,0,0.77,0,0,0.77,0.77,0,0.77,2.3,0,0.77,1.53,3.83,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,7.84,0,1.96,0,3.92,0,0,1.96,0,0,0,1.96,1.96,0,0,7.84,0,0,0,0,1.96,0,0,1.96,0
