stage,blastomeres,epidermis,eye,fast.muscle,glial,heart,immune,ionocyte,melanocytes,mesenchyme,neural,notochord,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0
 24-34,0,0,0,0,0,0,27.91,0.82,0.82,0,2.46,0.82,0,0,0.82,2.46,0,2.46,0
 36-46,0,0,0,0,0,0,37.06,0,0,0,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,10.33,0,0,0,18.36,0,0,0,2.3,0,0,0,0,1.72,0,0.57,0.57
 60-70,0,0,13.74,0,0,0,46.13,0,0,0,4.91,0,0,0.98,0,0,0,0,0
 72-82,0,1.96,10.8,0,0,0.98,31.41,0,0,1.96,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,3.19,1.06,0,0,49.92,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,65.57,0,0,0,2.19,0,0,1.09,0,0,1.09,1.09,0
108-118,0,0.77,0.77,0,0,0,47.49,0,0,1.53,2.3,0,1.53,0.77,0,0,0.77,0.77,0
120,0,0,3.92,0,1.96,0,45.08,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0
