stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,2,5,0,0,0,0,0,1,2,2
 24-34,0,0,0,0,1.64,0,1.64,0,0,19.7,0,1.64,0,0,2.46,0,0,4.93
 36-46,0,0,0,0,3.22,0,0,0,0,8.06,0,0,0,0,0,0,0,2.42
 48-58,0,0,0,0,5.16,1.15,1.72,0,0,4.59,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,4.91,0.98,0.98,0,0,8.83,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,1.96,0.98,1.96,0,0,3.93,0,0,0.98,0,0,0,0,1.96
 84-94,0,0,0,1.06,2.12,0,0,1.06,0,2.12,0,1.06,0,0,2.12,0,0,2.12
 96-106,0,0,0,0,2.19,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,3.06,0,1.53,0,0,2.3,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0
