stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,1.64,0,0,0,0,0,0.82,0.82,0.82,0,0,0,0,0
 36-46,3.22,0,0,0,0,4.03,0.81,0,0,0,0,0,0,0,8.86,0,0,0.81,4.03,0,0,0,0.81,0,2.42,0,0.81,0,0,0,0,0
 48-58,5.16,0,1.15,1.15,0.57,5.74,0.57,0,0,0,0,0,0,0,14.35,0,0,6.31,12.62,0.57,0,0,0,0,1.15,0,0.57,0,0,0,0,0
 60-70,12.76,0,0.98,2.94,1.96,12.76,7.85,0,0,0,0,0,0,0,73.61,0,0,13.74,23.56,0,0.98,0.98,0,0,0.98,0,0,0.98,0.98,0,0,0.98
 72-82,17.67,0,12.76,1.96,0.98,27.49,96.2,0,2.94,0,0,0,0,0,159.03,0.98,1.96,13.74,43.19,0,0,1.96,0,0,0.98,0,0,1.96,2.94,0,1.96,0
 84-94,53.1,0,7.43,6.37,4.25,15.93,63.72,0,0,0,1.06,0,0,1.06,126.38,1.06,10.62,16.99,26.55,0,0,2.12,0,2.12,2.12,0,0,0,2.12,1.06,3.19,0
 96-106,30.6,1.09,13.11,1.09,2.19,15.3,206.55,1.09,4.37,1.09,0,1.09,1.09,1.09,166.11,0,3.28,13.11,42.62,0,1.09,5.46,1.09,0,0,0,0,1.09,2.19,0,4.37,0
108-118,52.85,0.77,9.19,5.36,5.36,15.32,170.04,0.77,0.77,0,0.77,1.53,0.77,0,142.47,0.77,3.83,16.85,38.3,1.53,0,2.3,0,0,0,0,0,1.53,1.53,1.53,0,0
120,47.03,0,7.84,7.84,7.84,13.72,156.78,0,0,0,0,0,0,1.96,97.99,1.96,0,21.56,37.24,0,1.96,5.88,3.92,0,1.96,0,0,1.96,0,0,0,0
