stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,1,0,4,54,4,49,0,0,18,0,1,0,0,2,0,0,0,0,22,0,24,640,5,0,3,9,0,0,31,1,0,13,149,0,1,0
 24-34,0,0,0,14.78,0.82,177.3,0,0,13.13,0,0,0,0,1.64,0.82,0,0,0.82,71.41,0,30.37,1163.15,0,4.1,9.03,0,0,8.21,0,0,0.82,5.75,222.45,0,4.1,0.82
 36-46,0,0,0,8.06,0.81,212.7,0,0,13.7,0,0,1.61,0.81,0.81,0,0.81,1.61,0,53.98,0,13.7,462.45,0.81,0.81,0,0,0,8.06,0,0,0,0,99.9,0,4.03,0
 48-58,0,0,0.57,8.03,0,327.07,0.57,1.72,15.49,0,0,0,0,1.15,0,0,0,0,56.81,2.3,9.75,257.06,0.57,0.57,1.15,0,0,2.87,0,0,0,0,40.74,0,3.44,0.57
 60-70,0,0,0,8.83,0,146.25,0,0,7.85,0,0,0,0,0.98,0,0,0,0,32.39,2.94,9.82,92.26,0,0.98,0.98,0,0.98,2.94,0,0,0,0,6.87,0,0.98,0
 72-82,0,0,0,7.85,0,51.05,0,1.96,21.6,0,0,0.98,0,0,0.98,0.98,0,0,28.47,3.93,6.87,73.62,0,1.96,0.98,0,0.98,0.98,0,0.98,0,0,3.93,0,1.96,0
 84-94,0,1.06,0,7.43,0,49.92,1.06,2.12,14.87,4.25,0,0,0,3.19,0,0,0,0,29.74,3.19,8.5,42.48,0,3.19,1.06,0,0,1.06,0,1.06,0,0,3.19,0,5.31,0
 96-106,0,0,0,3.28,1.09,21.86,0,0,5.46,1.09,0,0,0,1.09,0,1.09,0,0,16.39,2.19,0,45.9,0,1.09,0,0,0,2.19,0,0,0,0,2.19,0,5.46,0
108-118,0,0,0,3.06,1.53,27.57,0,0.77,9.19,0.77,0,0,0,0.77,0,0,0,0,13.02,0.77,3.06,62.81,0,0.77,0,0,0,1.53,0,0,0,0,0.77,1.53,0,0
120,0,0,0,3.92,0,37.24,0,0,1.96,1.96,0,0,0,0,0,0,0,0,11.76,0,5.88,66.63,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
