stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,mesenchyme,neural,notochord,paraxial.mesoderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,2.63,2.63,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,1.64,15.6,0,0,0,3.28,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,17.72,0,0,0,4.03,0,0,0.81,0
 48-58,0,0,0,2.3,0,0,0.57,0.57,0,0,16.07,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,6.87,0,0,0,0,0.98,0.98,13.74,0,0,0,2.94,0,0,0,0.98
 72-82,0,1.96,0,0.98,0,0,0,8.83,0,0.98,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,1.06,0,7.43,0,1.06,4.25,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,0,0,0,8.74,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0.77,0,0.77,6.89,0,0.77,2.3,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,1.96,0,0
