stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,4,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,1,3,0,0,0,1,1,0,0,42,0,0,0,0,0
 24-34,0,0,4.93,4.93,6.57,0,0,12.31,0,0.82,0,4.1,0,0,0,0,0,0,0,0.82,2.46,1.64,0,0,1.64,170.74,10.67,4.93,16.42,0,0,5.75,0,12.31,0,0.82,136.26,0,0,1.64,0,0
 36-46,0,0,0.81,0,4.83,0,0,12.89,0,0,0,9.67,0,0,0,0,0,0,0,0,2.42,3.22,0,0,0,270.7,8.06,2.42,10.47,0,0,9.67,0,8.06,0,0,153.88,0,0,1.61,0,0
 48-58,0,0,1.15,0,1.72,0,0,53.94,0,0,1.15,21.8,1.15,0,0.57,0,0.57,0.57,0.57,1.72,5.16,6.31,0,0.57,0.57,404.53,9.18,4.59,10.9,0,0,3.44,0,3.44,0,0,135.42,0,0,1.15,0,0
 60-70,0,0,0,0,4.91,0,0,280.72,0,0,0.98,60.85,1.96,0,0,0.98,0.98,0.98,0.98,1.96,0.98,16.69,0,0,0.98,637.99,11.78,5.89,19.63,0,0.98,2.94,0,1.96,0.98,0,116.8,0,0,0.98,0,0
 72-82,0,0,0.98,0,7.85,1.96,0,400.52,0,0.98,0,98.17,10.8,0,4.91,0,0,0,1.96,2.94,2.94,30.43,0.98,0,1.96,708.76,2.94,11.78,30.43,0,0.98,9.82,0,1.96,0,0,91.29,1.96,0.98,0,0.98,0.98
 84-94,1.06,0,1.06,3.19,16.99,2.12,2.12,301.62,0,2.12,0,62.66,16.99,0,0,2.12,1.06,4.25,1.06,9.56,4.25,25.49,1.06,0,4.25,391.89,8.5,10.62,45.67,0,0,5.31,0,3.19,0,0,43.54,0,0,1.06,0,0
 96-106,0,0,0,4.37,19.67,0,0,241.52,0,0,1.09,63.39,9.84,0,2.19,0,1.09,1.09,2.19,9.84,2.19,29.51,2.19,0,1.09,384.68,3.28,18.58,48.09,0,1.09,6.56,0,1.09,0,0,52.46,0,0,3.28,1.09,1.09
108-118,0,0,3.06,2.3,11.49,4.6,7.66,193.79,0.77,1.53,1.53,69.7,5.36,0,0.77,0.77,0.77,0.77,4.6,19.15,0.77,23.74,0.77,0,0.77,382.98,3.06,16.85,42.13,0,0,5.36,0,7.66,0,0,22.98,0.77,0.77,0.77,0,0
120,1.96,0,0,0,13.72,1.96,0,168.54,0,1.96,1.96,60.75,0,0,0,0,0,1.96,5.88,19.6,0,15.68,0,0,5.88,407.64,1.96,9.8,29.4,0,1.96,9.8,0,5.88,0,0,29.4,0,0,1.96,0,0
