stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,4,0,0,0,0
 24-34,1.64,0,0,0,0,0,0,0.82,2.46,17.24,0,0,0,20.52,9.03,1.64,0,2.46,0.82,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,1.61,2.42,0,0,0.81,21.75,27.39,1.61,0,1.61,0,0,0,0
 48-58,1.72,0,1.15,1.15,0,0,0.57,0,3.44,9.18,0,0,0,27.54,8.61,1.72,0,0,0,0,0,0
 60-70,1.96,0,0,0,0,0,2.94,0,4.91,2.94,0,0,0.98,22.58,1.96,0,0,1.96,0,0.98,0,0
 72-82,6.87,0,1.96,0,0.98,0,36.32,0,7.85,7.85,0,0,5.89,28.47,2.94,0,0.98,3.93,0,1.96,0,0
 84-94,16.99,0,1.06,1.06,0,1.06,56.29,2.12,7.43,11.68,5.31,0,7.43,13.81,3.19,0,5.31,10.62,0,5.31,0,0
 96-106,29.51,2.19,7.65,0,0,2.19,95.08,0,21.86,15.3,8.74,1.09,2.19,45.9,5.46,3.28,9.84,19.67,0,5.46,1.09,0
108-118,14.55,0.77,0.77,0,0,0,88.09,0,10.72,14.55,3.06,0,2.3,15.32,9.19,3.06,1.53,13.02,0,9.19,0,0
120,7.84,0,1.96,0,0,0,39.2,0,7.84,3.92,1.96,0,1.96,7.84,1.96,3.92,7.84,3.92,0,1.96,0,0
