stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,1,13,0,0,1,0,1,0,0,1,2,0
 24-34,0,0.82,0.82,0.82,0,0,0,0,0.82,0,0,75.52,0,6.57,0,0,0,0,0.82,1.64,18.88,0
 36-46,0,0,0,8.06,0,0,0,0,0,0,0.81,68.48,0,12.89,0,0,0,0.81,0,0,17.72,0
 48-58,0,0,0,10.33,0,0,0,0,0,0,0.57,64.27,0,16.07,0,0,0,0,0,0,3.44,0
 60-70,0,0,0,24.54,0,0,0,0,0.98,0,0,155.08,0,20.61,0,0,0,0,0,0,4.91,0
 72-82,0,0,0,78.53,0,4.91,0,0,0.98,0,0,166.88,0,22.58,0.98,0,0,0,0,0,2.94,0
 84-94,0,0,1.06,47.79,0,2.12,0,1.06,2.12,0,0,103.02,0,20.18,2.12,0,0,0,0,0,0,0
 96-106,0,0,1.09,83.06,0,7.65,0,1.09,4.37,1.09,0,86.33,0,38.25,3.28,0,0,0,0,0,3.28,0
108-118,0,0,1.53,63.57,0.77,6.89,0,0,1.53,0,0,114.13,1.53,16.09,0.77,1.53,0,0,0,0,0.77,0.77
120,0,0,0,48.99,0,0,1.96,0,0,0,0,92.11,0,17.64,0,0,0,0,0,0,0,0
