stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,12.26,416.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,21.03,0,0,18.4,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,160.35,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,12,2,2,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,5,49,1,0,2,2,0,1,7,0,10,18,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,21.34,0.82,0,2.46,0,0,0,0,0.82,0,1.64,0.82,0,19.7,0,0,2.46,126.41,0,0,3.28,0,0,4.1,0,0,0.82,22.16,0,0,3.28,0,0
 36-46,0,0,0,0,4.03,0,20.95,0.81,1.61,3.22,0,0,0,0,0,0,0,0.81,0,11.28,0,0,4.03,78.96,0,0.81,0.81,0,0,5.64,0,0,0,17.72,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,25.82,1.15,1.15,8.61,0,0,0.57,0,0.57,0.57,0,0,0,14.92,0.57,0,2.3,63.12,0.57,0.57,0.57,0,0.57,2.3,0,0,0,12.62,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,34.35,2.94,0.98,10.8,0.98,0,0,0,1.96,0,0,0,0,13.74,0,0,1.96,55.95,0,0,1.96,0,0,1.96,0,0,0,10.8,0,0,1.96,0,0.98
 72-82,0,0,0,0,1.96,0,15.71,0,0.98,5.89,0,0.98,0,0,0,0,0,0.98,0,16.69,0,0,1.96,38.28,0,0,0.98,0,0,0.98,0,0,0,0.98,0,1.96,0,0.98,0
 84-94,0,0,0,0,1.06,0,14.87,3.19,0,5.31,0,0,2.12,1.06,1.06,0,0,0,1.06,11.68,0,0,0,12.74,1.06,2.12,3.19,0,0,3.19,0,1.06,0,3.19,0,0,3.19,1.06,0
 96-106,0,0,0,0,2.19,0,10.93,0,0,4.37,0,0,2.19,2.19,1.09,1.09,0,0,0,10.93,0,0,3.28,14.21,0,1.09,3.28,0,0,3.28,0,0,0,1.09,1.09,1.09,0,0,2.19
108-118,0,0,0.77,0,4.6,0.77,6.13,0.77,0,3.06,1.53,0,0.77,1.53,0.77,0.77,0,0.77,0,9.19,0.77,0.77,1.53,18.38,0,0,0,0,0,5.36,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,15.68,0,7.84,3.92,1.96,7.84,1.96,0,1.96,0,0,0,0,0,0,11.76,0,0,1.96,33.32,0,3.92,0,0,1.96,9.8,0,0,0,1.96,1.96,0,5.88,0,0
