stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.58,0,0,0,40.91,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,182,1,2,14,1,0,4,0,9,14,0,0,0,0,0
 24-34,0,3.28,0,0,17.24,0,0,0,0,0,0,0,0.82,0,0.82,0,0,2.46,0,0,0,175.66,0,3.28,29.55,0,0.82,0,0,0.82,6.57,0,0,0.82,0,0.82
 36-46,0,0.81,0,0,270.7,0.81,0.81,0,1.61,0,0,0,0,0,1.61,0,0,4.83,0,0.81,0,366.58,0,4.03,8.06,0,1.61,0,0,0,12.09,0,0,0,0,0
 48-58,0.57,5.74,0,0,565.77,0,1.15,1.72,11.48,0.57,0,0.57,0,0.57,3.44,0,0,20.08,0,1.15,4.02,496.92,0.57,2.3,10.9,0,2.87,0,0,0,35.58,0,0,1.15,0,0.57
 60-70,0.98,1.96,2.94,0,545.73,0.98,0,0.98,8.83,0,0,0.98,0,0,5.89,0,0.98,18.65,0,0.98,1.96,461.32,0,4.91,13.74,0,1.96,0,0,0,17.67,0,0,1.96,0,0.98
 72-82,0,8.83,3.93,0,390.7,0,0.98,0.98,25.52,0.98,0.98,0.98,0.98,1.96,13.74,0,0,26.5,0,0.98,3.93,389.72,0,3.93,40.25,0,3.93,0,0,0,4.91,0,0,0,1.96,5.89
 84-94,1.06,10.62,0,0,320.74,0,0,0,11.68,1.06,0,1.06,0,1.06,15.93,0,0,14.87,1.06,1.06,1.06,199.66,1.06,4.25,43.54,0,1.06,0,0,0,9.56,0,3.19,2.12,0,0
 96-106,0,10.93,3.28,3.28,192.34,0,2.19,1.09,15.3,1.09,1.09,2.19,1.09,0,24.04,1.09,0,12.02,0,0,0,185.78,0,5.46,63.39,1.09,3.28,0,0,0,2.19,0,0,2.19,1.09,1.09
108-118,0,7.66,3.83,0.77,224.43,0,0.77,0.77,8.43,1.53,0.77,0,0,0,18.38,0,0,12.26,0,0,0,212.94,0,2.3,35.23,0,1.53,0,0,0,2.3,0.77,0,0.77,0,1.53
120,0,7.84,0,0,239.09,0,0,0,23.52,0,0,1.96,1.96,0,9.8,0,0,5.88,0,0,1.96,195.98,0,3.92,17.64,0,3.92,0,0,0,3.92,0,0,1.96,0,1.96
