stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0
 24-34,0,0,0,0,0,1.64,0.82,0,0.82,0,0,0,0,0,64.03,0.82,0,0,22.98,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,81.37,0,0,0,24.17,0,0
 48-58,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0,0,37.3,1.15,0.57,0,7.46,0,0
 60-70,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0,74.6,1.96,0.98,0,11.78,0,0
 72-82,0,0.98,0,0.98,0,6.87,0,0,1.96,0.98,0,0,0,0,26.5,0,0.98,0,3.93,0,0
 84-94,0,0,0,2.12,1.06,6.37,0,0,1.06,0,0,0,0,0,20.18,0,3.19,0,4.25,0,0
 96-106,0,0,0,1.09,0,2.19,0,1.09,1.09,0,0,1.09,0,0,14.21,0,0,0,0,0,0
108-118,0,0.77,0,0,0,8.43,0,0,0.77,0,0,0.77,1.53,0.77,12.26,0,1.53,0,0,0.77,0
120,0,0,0,0,0,5.88,0,0,0,0,1.96,0,1.96,0,13.72,0,0,0,0,0,0
