stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,47,0,2,0,0,0,6,0,1,1,34,0,0,0,0,0
 24-34,0,0,1.64,10.67,0,5.75,0,0,0,1.64,0,0,0.82,11.49,1.64,0,1.64,0,2.46,4.1,2.46,0,0,269.24,0,14.78,0,0,0,23.8,0,0,0,103.43,0,0,4.93,0,0
 36-46,0,0,0,3.22,0,21.75,0,0,0,0.81,0.81,0,0,21.75,4.03,0,0,0,0.81,6.45,1.61,0,0,517.24,0,7.25,0.81,0,0,13.7,0,0,1.61,103.13,0,0,3.22,0,0
 48-58,0,0,1.15,6.31,0.57,95.25,0,2.3,2.3,14.35,0.57,0.57,0.57,16.64,0.57,0,0,1.15,1.72,12.62,1.15,0,4.02,612.82,0.57,6.31,0.57,0,0,14.35,0,0,0,99.84,0,0,4.02,0,0
 60-70,0,0,0.98,7.85,0.98,171.77,0,0,0,21.59,0.98,0,0.98,27.48,0,0.98,0.98,0,1.96,24.54,5.89,0,2.94,852.94,0,5.89,2.94,0,0,18.65,0,0,0.98,78.52,0.98,0,3.93,0.98,0.98
 72-82,0,0,4.91,18.65,1.96,211.06,0.98,1.96,0.98,49.08,1.96,0,0.98,30.43,0,0,4.91,0.98,0.98,30.43,9.82,0,0,830.49,0,3.93,3.93,0,0,12.76,0,0,0.98,47.12,5.89,3.93,13.74,1.96,0.98
 84-94,0,0,4.25,13.81,5.31,144.44,0,2.12,0,32.92,5.31,0,0,50.98,2.12,0,2.12,2.12,2.12,15.93,2.12,0,3.19,364.28,0,4.25,2.12,0,0,22.3,0,0,0,19.12,2.12,0,2.12,0,0
 96-106,0,0,3.28,18.58,3.28,122.4,1.09,1.09,2.19,30.6,7.65,0,0,51.36,2.19,3.28,4.37,1.09,1.09,26.23,3.28,1.09,3.28,354.08,0,9.84,3.28,0,1.09,25.14,0,0,0,20.76,3.28,0,7.65,3.28,0
108-118,0,0,3.83,16.85,0.77,109.53,2.3,3.83,1.53,36.77,6.89,0,0.77,45.19,2.3,3.06,3.83,0.77,0.77,26.81,2.3,1.53,0.77,384.51,0,7.66,1.53,0,1.53,9.96,0,0,0,6.89,3.06,0,5.36,0,3.06
120,1.96,0,1.96,17.64,0,139.14,1.96,7.84,1.96,68.59,13.72,0,0,64.67,9.8,3.92,7.84,0,0,29.4,3.92,1.96,1.96,605.57,0,5.88,0,0,0,13.72,0,0,0,23.52,5.88,0,11.76,0,0
