stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,19,1,0,1,0,0,38,1,1,1,8,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,3.28,0,0,0.82,0.82,0,0,0,6.57,0.82,0,0,1.64,2.46,0,0.82,30.37,0,3.28,0,0,0,188.8,0.82,0.82,0,3.28,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,5.64,0,0,0.81,0,0,0,0,1.61,4.03,0,0,1.61,0.81,0,3.22,30.62,0,2.42,0,0,0,208.67,0,0,0,7.25,0,0,1.61,0,0
 48-58,0,0,0,3.44,0,0,9.18,1.15,0,0.57,0,0,0,0,4.02,3.44,0,0,3.44,4.02,0,1.15,18.36,0,2.3,0.57,0,0,192.22,0,0,0,4.02,0,0.57,0.57,0,1.72
 60-70,0,0,0,2.94,0,0,8.83,3.93,0,6.87,0,0.98,0,0,12.76,3.93,0,0,0.98,4.91,0,0,16.69,0,1.96,0,0,0,250.29,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0,14.72,0,0,7.85,4.91,0,4.91,0,0,0,0,38.28,11.78,0,0,8.83,3.93,0.98,0.98,24.54,0,3.93,1.96,0,0,418.19,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,18.05,0,0,7.43,3.19,0,3.19,1.06,0,0,0,44.61,7.43,0,0,5.31,5.31,0,2.12,9.56,0,7.43,1.06,0,0,793.34,0,0,0,1.06,0,0,2.12,0,1.06
 96-106,0,0,0,76.5,0,1.09,14.21,19.67,0,7.65,4.37,0,1.09,1.09,96.17,18.58,1.09,0,14.21,20.76,1.09,1.09,45.9,0,18.58,0,0,2.19,1211.97,0,0,0,1.09,1.09,0,1.09,1.09,0
108-118,0,0,0,62.81,0.77,0,7.66,22.98,0,6.13,3.83,0,0,0,80.43,20.68,0,0.77,11.49,18.38,0,0,21.45,0,9.19,1.53,0,0,810.39,0,0,0,0.77,1.53,0,1.53,1.53,0.77
120,0,0,0,48.99,3.92,0,5.88,17.64,3.92,3.92,1.96,0,0,0,56.83,11.76,0,0,5.88,11.76,0,1.96,29.4,0,1.96,3.92,0,0,648.69,0,0,0,0,0,0,1.96,1.96,0
