stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.97,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,57,1,57,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3,960,0,55,1,0,0,1,0,0,5,22,0,0,0
 24-34,0,0,16.42,0.82,19.7,0,1.64,0,16.42,0,0.82,0,1.64,0,0,0,0,1.64,1.64,0,0,869.29,0.82,85.37,0,0,1.64,0,0,0,0,21.34,0,0.82,0
 36-46,0,0,3.22,0,122.46,0,0,0,44.31,0,0,0.81,0,0,0,0,0,2.42,0,0,0,603.45,0.81,51.56,0,0,0.81,0,0,0.81,0,10.47,0,0,0
 48-58,0,0,2.3,0,334.53,0.57,1.72,0.57,48.2,0,0,0,0,0,0,0.57,0.57,8.03,0,0.57,1.72,431.5,0,24.1,0,0,0.57,0,1.72,0.57,0,16.64,0,1.72,0
 60-70,0,0,0.98,0,238.51,0.98,0,0,31.41,0.98,0,0,1.96,0,0,0,0,4.91,0.98,0.98,0,223.79,0,19.63,0,0,0,0,0,0,0,2.94,0,0,0.98
 72-82,0.98,0,3.93,0,217.93,0,0,0.98,57.92,0,0,0,0,0,0,0,0,9.82,0,0.98,0.98,268.98,0,32.39,0,0,0.98,0,0,0,0,1.96,0.98,0.98,0
 84-94,0,0,7.43,0,160.37,0,1.06,1.06,36.11,1.06,0,0,3.19,1.06,0,0,0,7.43,0,1.06,0,161.43,0,27.61,0,0,1.06,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,10.93,2.19,125.68,1.09,2.19,0,44.81,0,0,1.09,3.28,0,1.09,0,0,4.37,0,0,0,142.07,0,48.09,0,0,1.09,0,1.09,0,0,0,0,0,1.09
108-118,0,0,1.53,0.77,88.09,0,0,0,42.13,0,0,0.77,4.6,0,0,0,0,3.83,0.77,0,0,163.15,0,42.13,0,0,0.77,0,0,0,0,0,0,1.53,0.77
120,0,0,3.92,1.96,70.55,0,0,0,45.08,0,0,0,1.96,1.96,0,0,0,3.92,0,0,1.96,158.74,0,11.76,1.96,0,0,0,0,0,0,1.96,0,0,0
